Predicted Residential Area,Total Requests,Number of Users
ADMIRALTY DR,12,2
ANCHORVALE LINK,21,3
ANG MO KIO ST 52,5,1
BAIN ST,9,3
BANGKIT RD,11,1
BEDOK CTRL,88,11
BEDOK RESERVOIR RD,9,1
BISHAN ST 12,14,2
BISHAN ST 13,35,5
BISHAN ST 23,10,2
BOON LAY AVE,10,1
BOON LAY DR,8,2
BOON LAY PL,16,2
BRIGHT HILL DR,5,1
BT BATOK CTRL,4,1
BT BATOK ST 34,6,2
BT MERAH CTRL,6,1
BT MERAH VIEW,7,2
BT PANJANG RING RD,3,1
BUANGKOK CRES,7,1
CHAI CHEE RD,3,1
CHANGI VILLAGE RD,4,1
CHOA CHU KANG AVE 3,21,2
CHOA CHU KANG DR,29,5
CHOA CHU KANG ST 62,6,1
CLARENCE LANE,13,3
CLEMENTI AVE 4,16,3
CLEMENTI ST 12,4,1
COMPASSVALE ST,10,1
DELTA AVE,7,2
DORSET RD,11,1
FARRER RD,3,1
FRENCH RD,5,1
GEYLANG BAHRU,19,2
GEYLANG EAST CTRL,3,1
HENDERSON CRES,11,1
HOLLAND DR,14,3
HOUGANG AVE 1,8,1
HOUGANG AVE 3,8,1
HOUGANG CTRL,31,4
HOUGANG ST 51,3,1
INDUS RD,27,3
JELLICOE RD,11,1
JLN BAHAGIA,16,2
JLN TENTERAM,10,1
JURONG EAST ST 24,30,4
JURONG WEST ST 65,3,1
JURONG WEST ST 93,8,1
KALLANG BAHRU,9,1
KENT RD,8,1
KIM KEAT LINK,8,2
KIM TIAN RD,3,1
KLANG LANE,7,1
LOMPANG RD,14,2
LOR AH SOO,5,1
MARINE CRES,11,1
MARINE TER,25,4
MARSILING DR,21,3
NEW MKT RD,10,1
OLD AIRPORT RD,20,4
PASIR RIS DR 3,28,3
PASIR RIS ST 71,10,1
PENDING RD,5,1
PINE CL,4,1
PIPIT RD,4,1
POTONG PASIR AVE 1,14,2
POTONG PASIR AVE 2,3,1
PUNGGOL DR,21,2
PUNGGOL EAST,37,4
PUNGGOL FIELD,3,1
PUNGGOL FIELD WALK,4,1
PUNGGOL PL,10,1
PUNGGOL RD,53,6
RIVERVALE WALK,10,1
SAGO LANE,8,1
SEMBAWANG CRES,10,1
SEMBAWANG DR,80,11
SEMBAWANG VISTA,3,1
SEMBAWANG WAY,5,1
SENGKANG CTRL,51,7
SERANGOON CTRL,14,2
SERANGOON NTH AVE 4,8,1
SIMEI RD,3,1
SIMS PL,22,4
SIN MING RD,8,1
STIRLING RD,3,1
SUMANG LINK,11,1
TAMPINES AVE 4,4,1
TAMPINES AVE 8,10,1
TAMPINES ST 22,74,9
TAMPINES ST 33,18,3
TAMPINES ST 41,10,2
TAMPINES ST 44,7,1
TAMPINES ST 81,10,1
TAMPINES ST 82,11,1
TEBAN GDNS RD,6,1
TECK WHYE CRES,3,1
TECK WHYE LANE,3,1
TELOK BLANGAH DR,5,1
TELOK BLANGAH WAY,11,1
TG PAGAR PLAZA,3,1
TIONG BAHRU RD,11,1
TOA PAYOH NTH,20,3
TOWNER RD,6,1
UBI AVE 1,7,1
UPP ALJUNIED LANE,3,1
UPP SERANGOON RD,9,2
WATERLOO ST,10,2
WOODLANDS AVE 3,6,1
WOODLANDS AVE 6,12,2
WOODLANDS CRES,15,4
WOODLANDS DR 70,9,2
YISHUN AVE 3,10,1
YISHUN AVE 4,7,2
YISHUN CTRL,48,6
YISHUN ST 11,5,1
YISHUN ST 21,11,1
YISHUN ST 22,11,1
YISHUN ST 41,15,2
YISHUN ST 51,11,1
YISHUN ST 61,25,3
YISHUN ST 71,34,5
YISHUN ST 72,34,5
YUNG KUANG RD,5,1
ZION RD,3,1
