Predicted Residential Area,Total Requests,Number of Users
ALJUNIED RD,10,2
ANG MO KIO AVE 10,5,1
ANG MO KIO AVE 4,13,3
ANG MO KIO AVE 5,5,1
BANGKIT RD,5,1
BEDOK CTRL,11,3
BEDOK NTH RD,5,1
BEDOK STH RD,5,1
BISHAN ST 12,26,6
BISHAN ST 13,8,2
BISHAN ST 22,24,5
BOON LAY PL,20,4
BT BATOK CTRL,27,6
BT BATOK ST 24,4,1
BT BATOK ST 34,10,2
BT BATOK ST 51,4,1
BT BATOK WEST AVE 8,5,1
BT MERAH CTRL,5,1
BT MERAH VIEW,9,2
BT PANJANG RING RD,23,5
BUANGKOK CRES,13,3
BUANGKOK LINK,4,1
CANBERRA LINK,5,1
CANBERRA RD,4,1
CHAI CHEE AVE,5,1
CHANGI VILLAGE RD,5,1
CHOA CHU KANG CTRL,4,1
CHOA CHU KANG DR,10,2
CLARENCE LANE,8,2
CLEMENTI AVE 4,8,2
DOVER CL EAST,3,1
EDGEDALE PLAINS,10,2
ELIAS RD,5,1
EUNOS CRES,5,1
FERNVALE LANE,8,2
GEYLANG EAST CTRL,5,1
HAIG RD,5,1
HOLLAND CL,5,1
HOUGANG AVE 10,8,2
HOUGANG AVE 3,15,3
HOUGANG CTRL,10,2
HOUGANG ST 92,5,1
INDUS RD,15,3
JLN BAHAGIA,10,2
JLN TECK WHYE,3,1
JOO CHIAT RD,5,1
JURONG EAST ST 13,5,1
JURONG EAST ST 24,25,5
JURONG WEST AVE 5,10,2
JURONG WEST CTRL 1,5,1
JURONG WEST ST 25,3,1
JURONG WEST ST 42,3,1
JURONG WEST ST 61,5,1
JURONG WEST ST 65,5,1
JURONG WEST ST 81,10,2
JURONG WEST ST 93,30,6
KANG CHING RD,3,1
KG KAYU RD,5,1
KIM CHENG ST,5,1
KIM KEAT AVE,10,2
KIM KEAT LINK,10,2
LIM LIAK ST,4,1
LOMPANG RD,5,1
LOR 8 TOA PAYOH,5,1
LOR LEW LIAN,5,1
MARINE CRES,5,1
MARINE DR,5,1
MARINE TER,8,2
MARSILING DR,5,1
NEW UPP CHANGI RD,5,1
OLD AIRPORT RD,5,1
OWEN RD,5,1
PASIR RIS DR 1,5,1
PASIR RIS DR 10,3,1
PASIR RIS DR 3,34,8
PASIR RIS DR 4,5,1
PASIR RIS ST 53,10,2
PASIR RIS ST 71,5,1
PASIR RIS ST 72,3,1
PIPIT RD,5,1
PUNGGOL CTRL,5,1
PUNGGOL EAST,10,2
PUNGGOL FIELD,4,1
PUNGGOL RD,13,3
PUNGGOL WALK,5,1
QUEEN'S CL,5,1
RIVERVALE DR,5,1
ROWELL RD,5,1
SAGO LANE,5,1
SEGAR RD,5,1
SELEGIE RD,4,1
SEMBAWANG CL,3,1
SEMBAWANG DR,10,2
SENGKANG CTRL,45,9
SERANGOON AVE 4,5,1
SERANGOON CTRL,10,2
SERANGOON NTH AVE 1,5,1
SERANGOON NTH AVE 3,5,1
SIMEI RD,10,2
SIN MING AVE,5,1
SUMANG LINK,10,2
TAMAN HO SWEE,13,3
TAMPINES ST 22,40,8
TAMPINES ST 23,10,2
TAMPINES ST 33,10,2
TAMPINES ST 44,10,2
TAMPINES ST 45,5,1
TAMPINES ST 82,5,1
TAMPINES ST 83,5,1
TAMPINES ST 91,9,2
TEBAN GDNS RD,5,1
TELOK BLANGAH WAY,5,1
TG PAGAR PLAZA,5,1
TIONG BAHRU RD,10,2
TOA PAYOH EAST,5,1
UBI AVE 1,15,3
UPP SERANGOON RD,5,1
WELLINGTON CIRCLE,5,1
WOODLANDS AVE 3,5,1
WOODLANDS AVE 4,5,1
WOODLANDS AVE 9,5,1
WOODLANDS CIRCLE,5,1
WOODLANDS DR 14,5,1
WOODLANDS DR 52,8,2
WOODLANDS DR 70,10,2
YISHUN AVE 3,10,2
YISHUN AVE 4,5,1
YISHUN CTRL,29,6
YISHUN RING RD,4,1
YISHUN ST 11,21,5
YISHUN ST 21,10,2
YISHUN ST 31,10,2
YISHUN ST 41,5,1
YISHUN ST 51,5,1
YISHUN ST 61,10,2
YISHUN ST 71,10,2
YISHUN ST 72,9,2
YUNG KUANG RD,4,1
