Predicted Residential Area,Total Requests,Number of Users
ADMIRALTY DR,5,1
ALJUNIED RD,7,1
ANCHORVALE RD,7,1
ANG MO KIO AVE 10,7,1
ANG MO KIO AVE 4,4,1
ANG MO KIO AVE 5,7,1
ANG MO KIO AVE 8,7,1
BANGKIT RD,22,4
BEDOK CTRL,31,5
BEDOK RESERVOIR RD,4,1
BEDOK STH AVE 1,7,1
BEDOK STH AVE 2,4,1
BISHAN ST 12,17,4
BISHAN ST 13,21,4
BISHAN ST 22,28,4
BISHAN ST 23,7,1
BOON LAY AVE,11,2
BOON LAY DR,6,2
BOON LAY PL,14,3
BRIGHT HILL DR,5,1
BT BATOK CTRL,48,7
BT BATOK ST 34,11,2
BT BATOK ST 51,11,3
BT MERAH CTRL,7,1
BT MERAH VIEW,14,3
BT PANJANG RING RD,10,2
BUANGKOK CRES,20,3
C'WEALTH CRES,3,1
CANBERRA LINK,7,1
CANTONMENT CL,4,1
CHAI CHEE AVE,7,1
CHAI CHEE RD,7,1
CHOA CHU KANG AVE 3,7,1
CHOA CHU KANG AVE 4,5,1
CHOA CHU KANG DR,4,1
CHOA CHU KANG ST 62,7,1
CHOA CHU KANG ST 64,3,1
CLARENCE LANE,20,5
CLEMENTI AVE 4,21,3
CLEMENTI ST 11,3,1
CLEMENTI ST 12,3,1
CLEMENTI WEST ST 2,5,1
COMPASSVALE LANE,7,1
DELTA AVE,7,1
FARRER PK RD,7,1
FERNVALE RD,10,2
GEYLANG BAHRU,9,2
GEYLANG SERAI,7,1
HO CHING RD,4,1
HOUGANG AVE 10,7,1
HOUGANG AVE 3,7,1
HOUGANG AVE 7,7,1
HOUGANG AVE 8,4,1
HOUGANG AVE 9,3,1
HOUGANG CTRL,26,4
HOUGANG ST 52,7,1
HOUGANG ST 61,7,1
INDUS RD,21,3
JLN BAHAGIA,8,2
JLN TENAGA,7,1
JURONG EAST ST 24,20,4
JURONG WEST ST 42,8,2
JURONG WEST ST 81,3,1
JURONG WEST ST 91,3,1
JURONG WEST ST 93,35,6
KALLANG BAHRU,5,1
KENT RD,7,1
KIM CHENG ST,7,1
KIM TIAN RD,6,1
KLANG LANE,4,1
LENGKONG TIGA,3,1
LIM LIAK ST,4,1
LOMPANG RD,7,1
MARINE CRES,5,1
MARINE TER,16,3
NEW MKT RD,3,1
NEW UPP CHANGI RD,5,1
OLD AIRPORT RD,10,2
PASIR RIS DR 3,48,7
PASIR RIS DR 6,7,1
PASIR RIS ST 71,6,1
PENDING RD,7,1
POTONG PASIR AVE 1,3,1
PUNGGOL DR,7,1
PUNGGOL EAST,20,3
PUNGGOL FIELD,12,3
PUNGGOL RD,23,4
PUNGGOL WALK,7,1
QUEEN'S CL,4,1
RIVERVALE DR,7,1
RIVERVALE WALK,3,1
SEMBAWANG CL,4,1
SEMBAWANG CRES,4,1
SEMBAWANG DR,40,6
SENGKANG CTRL,17,3
SENGKANG EAST WAY,17,3
SHUNFU RD,5,1
SIMEI RD,12,2
SIMEI ST 1,13,2
SIMS DR,3,1
SIMS PL,14,2
ST. GEORGE'S LANE,3,1
STIRLING RD,6,1
STRATHMORE AVE,3,1
SUMANG LINK,4,1
TAMPINES AVE 4,4,1
TAMPINES ST 22,45,8
TAMPINES ST 23,4,1
TAMPINES ST 33,5,1
TAMPINES ST 44,10,2
TANGLIN HALT RD,14,2
TELOK BLANGAH HTS,7,1
TG PAGAR PLAZA,13,3
TIONG BAHRU RD,10,2
TOH GUAN RD,4,1
TOWNER RD,7,1
UBI AVE 1,10,2
UPP SERANGOON RD,21,4
WHAMPOA STH,7,1
WOODLANDS AVE 6,4,1
WOODLANDS CRES,38,9
WOODLANDS DR 60,7,1
WOODLANDS DR 70,4,1
WOODLANDS ST 31,3,1
YISHUN AVE 3,7,1
YISHUN AVE 5,7,1
YISHUN CTRL,27,6
YISHUN RING RD,6,1
YISHUN ST 11,7,1
YISHUN ST 22,14,2
YISHUN ST 41,8,2
YISHUN ST 51,7,1
YISHUN ST 61,7,1
YISHUN ST 72,3,1
YUNG SHENG RD,7,1
