Predicted Residential Area,Total Requests,Number of Users
ADMIRALTY LINK,3,1
ALJUNIED CRES,3,1
ANCHORVALE DR,3,1
ANG MO KIO AVE 4,3,1
ANG MO KIO ST 31,3,1
BANGKIT RD,3,1
BEDOK CTRL,12,4
BEDOK NTH AVE 4,3,1
BEDOK NTH RD,3,1
BEDOK RESERVOIR VIEW,3,1
BEDOK STH RD,3,1
BISHAN ST 11,3,1
BISHAN ST 12,24,8
BISHAN ST 13,3,1
BISHAN ST 22,9,3
BISHAN ST 23,6,2
BISHAN ST 24,9,3
BOON KENG RD,3,1
BOON LAY AVE,3,1
BOON LAY DR,3,1
BOON LAY PL,9,3
BT BATOK CTRL,6,2
BT BATOK ST 25,6,2
BT BATOK ST 34,6,2
BT BATOK ST 52,3,1
BT BATOK WEST AVE 6,6,2
BT MERAH CTRL,3,1
BT PANJANG RING RD,6,2
BT PURMEI RD,3,1
CANBERRA LINK,3,1
CASSIA CRES,3,1
CHAI CHEE AVE,6,2
CHAI CHEE DR,3,1
CHANDER RD,6,2
CHANGI VILLAGE RD,3,1
CHOA CHU KANG AVE 3,3,1
CHOA CHU KANG DR,9,3
CHOA CHU KANG ST 62,3,1
CHOA CHU KANG ST 64,3,1
CLARENCE LANE,3,1
CLEMENTI AVE 2,3,1
CLEMENTI AVE 4,3,1
CLEMENTI ST 11,3,1
CLEMENTI ST 12,3,1
COMPASSVALE BOW,3,1
COMPASSVALE ST,3,1
COMPASSVALE WALK,6,2
DELTA AVE,3,1
DOVER CRES,3,1
EDGEDALE PLAINS,3,1
EUNOS CRES,6,2
EUNOS RD 5,6,2
EVERTON PK,3,1
FERNVALE LANE,3,1
GEYLANG EAST CTRL,3,1
HOUGANG AVE 10,3,1
HOUGANG AVE 3,6,2
HOUGANG AVE 8,12,4
HOUGANG CTRL,15,5
HOUGANG ST 92,3,1
INDUS RD,3,1
JLN BAHAGIA,3,1
JLN DAMAI,3,1
JLN TECK WHYE,9,3
JLN TENAGA,6,2
JOO CHIAT RD,9,3
JURONG EAST ST 13,3,1
JURONG EAST ST 24,3,1
JURONG WEST ST 42,3,1
JURONG WEST ST 64,3,1
JURONG WEST ST 65,3,1
JURONG WEST ST 91,3,1
JURONG WEST ST 93,9,3
KALLANG BAHRU,6,2
KANG CHING RD,3,1
KENT RD,3,1
KIM CHENG ST,3,1
KIM PONG RD,3,1
KRETA AYER RD,3,1
LIM LIAK ST,3,1
LOMPANG RD,3,1
LOR 5 TOA PAYOH,3,1
LOR 8 TOA PAYOH,3,1
LOR AH SOO,6,2
MARINE TER,6,2
MARSILING CRES,3,1
MARSILING DR,3,1
MEI LING ST,3,1
MONTREAL DR,3,1
OLD AIRPORT RD,15,5
OWEN RD,3,1
PASIR RIS DR 3,12,4
PASIR RIS ST 21,3,1
PASIR RIS ST 53,3,1
PASIR RIS ST 71,3,1
PAYA LEBAR WAY,3,1
PENDING RD,9,3
PIPIT RD,3,1
POTONG PASIR AVE 1,9,3
PUNGGOL DR,6,2
PUNGGOL EAST,9,3
PUNGGOL RD,3,1
PUNGGOL WALK,3,1
QUEENSWAY,3,1
REDHILL LANE,3,1
RIVERVALE CRES,3,1
SEMBAWANG CL,3,1
SEMBAWANG DR,15,5
SEMBAWANG VISTA,3,1
SEMBAWANG WAY,3,1
SENGKANG CTRL,6,2
SENGKANG EAST WAY,3,1
SENJA RD,3,1
SERANGOON CTRL,6,2
SERANGOON NTH AVE 4,3,1
SIMEI ST 1,3,1
SIMS PL,3,1
SIN MING RD,3,1
SMITH ST,3,1
STIRLING RD,3,1
SUMANG LINK,3,1
TAMPINES CTRL 7,9,3
TAMPINES ST 21,6,2
TAMPINES ST 22,33,11
TAMPINES ST 23,3,1
TAMPINES ST 33,9,3
TAMPINES ST 43,3,1
TAMPINES ST 44,3,1
TAMPINES ST 82,3,1
TELOK BLANGAH CRES,3,1
TELOK BLANGAH DR,3,1
TELOK BLANGAH RISE,3,1
TG PAGAR PLAZA,6,2
TIONG BAHRU RD,6,2
TOA PAYOH EAST,3,1
TOWNER RD,3,1
UBI AVE 1,3,1
UPP BOON KENG RD,3,1
WOODLANDS AVE 6,3,1
WOODLANDS CRES,3,1
WOODLANDS DR 50,3,1
WOODLANDS DR 53,3,1
WOODLANDS RING RD,3,1
WOODLANDS ST 31,3,1
YISHUN AVE 11,3,1
YISHUN AVE 4,3,1
YISHUN CTRL,12,4
YISHUN RING RD,3,1
YISHUN ST 11,12,4
YISHUN ST 21,3,1
YISHUN ST 51,3,1
YISHUN ST 61,3,1
YISHUN ST 71,6,2
YISHUN ST 72,9,3
YUNG AN RD,3,1
YUNG KUANG RD,3,1
YUNG SHENG RD,6,2
