Predicted Residential Area,Total Requests,Number of Users
ANCHORVALE CRES,6,2
ANCHORVALE LINK,3,1
ANCHORVALE ST,3,1
ANG MO KIO AVE 10,3,1
BANGKIT RD,3,1
BEDOK CTRL,6,2
BEDOK NTH AVE 4,3,1
BEDOK RESERVOIR RD,3,1
BEDOK RESERVOIR VIEW,3,1
BEDOK STH RD,6,2
BISHAN ST 12,21,7
BISHAN ST 13,6,2
BISHAN ST 22,9,3
BISHAN ST 23,6,2
BISHAN ST 24,6,2
BOON LAY DR,6,2
BOON LAY PL,3,1
BT BATOK CTRL,6,2
BT BATOK ST 34,12,4
BT BATOK ST 51,3,1
BT BATOK ST 52,3,1
BT BATOK WEST AVE 5,3,1
BT MERAH VIEW,3,1
BT PANJANG RING RD,15,5
BUANGKOK GREEN,3,1
CANBERRA LINK,3,1
CASHEW RD,3,1
CHAI CHEE ST,12,4
CHOA CHU KANG DR,6,2
CHOA CHU KANG NTH 5,3,1
CHOA CHU KANG ST 53,3,1
CHOA CHU KANG ST 62,6,2
CLARENCE LANE,9,3
CLEMENTI ST 11,6,2
CLEMENTI ST 13,6,2
COMPASSVALE LANE,6,2
FERNVALE LINK,3,1
FERNVALE RD,3,1
GEYLANG SERAI,3,1
HAIG RD,3,1
HENDERSON CRES,3,1
HOUGANG AVE 1,3,1
HOUGANG AVE 10,3,1
HOUGANG AVE 3,9,3
HOUGANG CTRL,15,5
HOUGANG ST 11,3,1
HOUGANG ST 31,3,1
HOUGANG ST 52,9,3
INDUS RD,6,2
JLN BAHAGIA,6,2
JLN KAYU,3,1
JOO SENG RD,3,1
JURONG EAST ST 24,15,5
JURONG WEST CTRL 1,9,3
JURONG WEST ST 42,3,1
JURONG WEST ST 71,3,1
JURONG WEST ST 81,6,2
JURONG WEST ST 93,24,8
KANG CHING RD,3,1
KENT RD,3,1
KIM CHENG ST,3,1
KIM TIAN RD,3,1
LENGKONG TIGA,3,1
LOMPANG RD,3,1
LOR 3 GEYLANG,3,1
LOR 4 TOA PAYOH,3,1
MARINE TER,3,1
MARSILING LANE,3,1
MCNAIR RD,3,1
MOH GUAN TER,3,1
MONTREAL DR,6,2
MONTREAL LINK,3,1
NEW MKT RD,3,1
NEW UPP CHANGI RD,3,1
OLD AIRPORT RD,21,7
PASIR RIS DR 3,18,6
PASIR RIS ST 11,3,1
PASIR RIS ST 53,3,1
PENDING RD,3,1
PINE CL,3,1
POTONG PASIR AVE 3,3,1
PUNGGOL EAST,9,3
PUNGGOL PL,3,1
PUNGGOL RD,12,4
PUNGGOL WAY,3,1
RIVERVALE WALK,6,2
SEMBAWANG CL,3,1
SENGKANG CTRL,15,5
SENGKANG EAST AVE,3,1
SENGKANG EAST RD,3,1
SENGKANG WEST AVE,3,1
SENJA RD,3,1
SERANGOON AVE 4,3,1
SILAT AVE,3,1
SIMEI RD,6,2
SIMEI ST 1,3,1
SIMS PL,6,2
SIN MING AVE,6,2
SIN MING RD,3,1
ST. GEORGE'S LANE,3,1
STIRLING RD,3,1
TAMAN HO SWEE,3,1
TAMPINES AVE 4,3,1
TAMPINES ST 22,33,11
TAMPINES ST 33,9,3
TAMPINES ST 41,6,2
TAMPINES ST 44,3,1
TECK WHYE LANE,3,1
TELOK BLANGAH DR,3,1
TELOK BLANGAH WAY,3,1
TG PAGAR PLAZA,6,2
TOA PAYOH NTH,6,2
TOH YI DR,6,2
UBI AVE 1,12,4
UPP SERANGOON RD,3,1
WEST COAST RD,3,1
WOODLANDS AVE 6,3,1
WOODLANDS DR 40,3,1
WOODLANDS DR 60,3,1
WOODLANDS DR 70,9,3
WOODLANDS RING RD,3,1
WOODLANDS ST 82,3,1
YISHUN AVE 11,3,1
YISHUN CTRL,21,7
YISHUN ST 11,9,3
YISHUN ST 20,3,1
YISHUN ST 21,3,1
YISHUN ST 22,3,1
YISHUN ST 31,3,1
YISHUN ST 41,6,2
YISHUN ST 61,6,2
YISHUN ST 71,12,4
YISHUN ST 72,9,3
YUNG KUANG RD,3,1
