Predicted Residential Area,Total Requests,Number of Users
ADMIRALTY DR,3,1
ANG MO KIO AVE 2,4,1
ANG MO KIO AVE 4,9,1
ANG MO KIO AVE 5,3,1
ANG MO KIO ST 31,4,1
BANGKIT RD,3,1
BEDOK CTRL,27,5
BEDOK NTH RD,4,1
BEDOK NTH ST 4,15,2
BENDEMEER RD,9,1
BISHAN ST 12,21,4
BISHAN ST 13,26,4
BISHAN ST 22,3,1
BISHAN ST 23,9,3
BISHAN ST 24,14,3
BOON LAY DR,18,4
BOON LAY PL,3,1
BT BATOK CTRL,14,3
BT BATOK ST 34,9,1
BT MERAH CTRL,6,1
BT MERAH LANE 1,3,1
BT PANJANG RING RD,19,4
BUANGKOK GREEN,4,1
BUANGKOK LINK,9,1
C'WEALTH CL,7,2
CASHEW RD,3,1
CHAI CHEE AVE,8,1
CHAI CHEE RD,3,1
CHOA CHU KANG AVE 3,17,2
CHOA CHU KANG DR,19,3
CHOA CHU KANG ST 51,3,1
CHOA CHU KANG ST 54,6,1
CHOA CHU KANG ST 64,4,1
CLARENCE LANE,17,2
CLEMENTI AVE 4,3,1
CLEMENTI ST 11,8,1
DOVER CRES,4,1
EDGEDALE PLAINS,25,3
EDGEFIELD PLAINS,7,1
FARRER PK RD,3,1
FERNVALE LANE,9,1
FRENCH RD,3,1
GANGSA RD,3,1
GHIM MOH RD,3,1
GLOUCESTER RD,8,2
HOLLAND AVE,3,1
HOUGANG AVE 3,9,1
HOUGANG AVE 7,3,1
HOUGANG AVE 8,4,1
HOUGANG CTRL,34,6
HOUGANG ST 52,3,1
HOUGANG ST 91,8,1
HOUGANG ST 92,3,1
INDUS RD,8,2
JLN BAHAGIA,4,1
JLN BT MERAH,3,1
JLN TECK WHYE,3,1
JLN TENTERAM,4,1
JURONG EAST AVE 1,8,1
JURONG EAST ST 24,40,7
JURONG WEST ST 42,8,1
JURONG WEST ST 52,3,1
JURONG WEST ST 61,8,1
JURONG WEST ST 64,7,1
JURONG WEST ST 65,9,1
JURONG WEST ST 81,4,1
JURONG WEST ST 91,4,1
JURONG WEST ST 93,41,6
KENT RD,9,1
KIM TIAN RD,12,2
LOMPANG RD,12,2
LOR 1 TOA PAYOH,3,1
LOR 5 TOA PAYOH,8,1
MARINE DR,7,1
MARINE TER,8,1
MARSILING DR,4,1
MARSILING RISE,6,1
MONTREAL LINK,9,1
OLD AIRPORT RD,11,2
PASIR RIS DR 3,78,12
PASIR RIS ST 53,3,1
PAYA LEBAR WAY,20,3
PENDING RD,8,1
PETIR RD,8,1
PUNGGOL CTRL,7,1
PUNGGOL DR,9,1
PUNGGOL EAST,5,1
PUNGGOL RD,29,4
RIVERVALE DR,6,2
RIVERVALE WALK,15,2
SAUJANA RD,6,1
SELEGIE RD,8,1
SEMBAWANG CL,7,1
SEMBAWANG CRES,8,1
SEMBAWANG DR,24,3
SEMBAWANG VISTA,3,1
SEMBAWANG WAY,7,1
SENGKANG CTRL,38,5
SENGKANG EAST RD,12,2
SENGKANG EAST WAY,6,1
SENGKANG WEST AVE,7,1
SENJA LINK,8,1
SERANGOON AVE 1,3,1
SERANGOON AVE 3,10,2
SERANGOON AVE 4,3,1
SERANGOON CTRL,3,1
SERANGOON NTH AVE 1,12,2
SERANGOON NTH AVE 4,8,1
SILAT AVE,18,2
SIMEI RD,23,3
SIMS PL,3,1
SUMANG LINK,5,1
TAMPINES ST 11,9,1
TAMPINES ST 22,55,8
TAMPINES ST 23,9,1
TAMPINES ST 33,15,3
TAMPINES ST 42,11,2
TAMPINES ST 43,3,1
TAMPINES ST 44,8,1
TEBAN GDNS RD,7,1
TELOK BLANGAH CRES,6,2
TELOK BLANGAH DR,13,3
TELOK BLANGAH WAY,6,1
TG PAGAR PLAZA,3,1
TIONG BAHRU RD,13,2
TOA PAYOH NTH,4,1
TOH GUAN RD,3,1
TOWNER RD,3,1
WHAMPOA STH,3,1
WOODLANDS AVE 4,3,1
WOODLANDS CRES,14,4
WOODLANDS DR 70,3,1
YISHUN AVE 3,7,1
YISHUN CTRL,33,4
YISHUN RING RD,8,1
YISHUN ST 11,35,6
YISHUN ST 21,9,1
YISHUN ST 22,8,1
YISHUN ST 41,17,2
YISHUN ST 51,4,1
YISHUN ST 71,20,4
ZION RD,3,1
