Predicted Residential Area,Total Requests,Number of Users
ALJUNIED CRES,15,1
ANG MO KIO AVE 4,4,1
ANG MO KIO AVE 5,11,1
BAIN ST,6,1
BANGKIT RD,3,1
BEDOK CTRL,40,3
BEDOK NTH RD,14,1
BEDOK NTH ST 4,14,1
BEDOK STH AVE 1,3,1
BEDOK STH AVE 3,3,1
BEDOK STH RD,14,1
BISHAN ST 12,28,4
BISHAN ST 13,17,2
BISHAN ST 22,30,4
BISHAN ST 23,12,2
BISHAN ST 24,52,4
BOON KENG RD,14,1
BOON LAY DR,6,1
BOON LAY PL,14,2
BOON TIONG RD,5,1
BRIGHT HILL DR,15,1
BT BATOK CTRL,11,2
BT BATOK ST 25,9,1
BT BATOK ST 34,16,2
BT BATOK WEST AVE 6,10,1
BT MERAH VIEW,25,2
BT PANJANG RING RD,30,3
BUANGKOK CRES,3,1
C'WEALTH AVE,7,2
CHOA CHU KANG AVE 3,4,1
CHOA CHU KANG DR,3,1
CHOA CHU KANG LOOP,8,1
CLARENCE LANE,21,2
CLEMENTI AVE 4,14,1
DELTA AVE,7,2
ELIAS RD,9,1
EUNOS CRES,32,3
FAJAR RD,10,1
FERNVALE LANE,11,1
FRENCH RD,8,2
GEYLANG EAST CTRL,14,1
HAIG RD,3,1
HOUGANG CTRL,100,10
HOUGANG ST 61,9,1
HOUGANG ST 92,15,1
JELAPANG RD,13,1
JLN MEMBINA,6,1
JLN TENTERAM,13,2
JOO SENG RD,28,2
JURONG EAST ST 13,3,1
JURONG EAST ST 24,27,2
JURONG WEST ST 25,14,1
JURONG WEST ST 65,15,1
JURONG WEST ST 74,14,1
JURONG WEST ST 93,53,5
KALLANG BAHRU,14,1
KIM CHENG ST,3,1
KIM KEAT AVE,8,1
KIM KEAT LINK,24,4
LOMPANG RD,39,3
LOR 3 TOA PAYOH,15,1
MACPHERSON LANE,23,3
MARINE CRES,5,1
OLD AIRPORT RD,15,1
OWEN RD,13,1
PASIR RIS DR 10,8,1
PASIR RIS DR 3,30,4
PASIR RIS ST 11,4,1
PAYA LEBAR WAY,10,1
PENDING RD,4,1
PINE CL,21,2
POTONG PASIR AVE 1,29,2
PUNGGOL RD,83,8
PUNGGOL WALK,12,1
PUNGGOL WAY,12,1
RACE COURSE RD,8,1
RIVERVALE DR,4,1
SAGO LANE,16,2
SEMBAWANG CL,3,1
SEMBAWANG DR,26,2
SEMBAWANG VISTA,10,1
SEMBAWANG WAY,18,2
SENGKANG CTRL,70,6
SENGKANG EAST AVE,13,1
SERANGOON AVE 2,15,1
SERANGOON AVE 3,6,1
SERANGOON CTRL,3,1
SILAT AVE,15,1
SIMEI RD,7,2
SIMEI ST 1,4,1
SIMS DR,5,1
SIMS PL,15,1
SIN MING RD,3,1
SMITH ST,9,2
SUMANG LINK,11,1
TAMPINES AVE 4,8,1
TAMPINES ST 21,15,1
TAMPINES ST 22,151,14
TAMPINES ST 33,12,2
TAMPINES ST 42,18,2
TAMPINES ST 45,8,1
TANGLIN HALT RD,14,1
TAO CHING RD,13,1
TEBAN GDNS RD,14,1
TECK WHYE CRES,39,6
TELOK BLANGAH DR,6,1
TELOK BLANGAH WAY,14,1
TG PAGAR PLAZA,30,3
TIONG BAHRU RD,6,1
TOA PAYOH EAST,7,1
TOWNER RD,22,4
UPP SERANGOON RD,20,2
WHAMPOA STH,9,1
WOODLANDS AVE 6,18,2
WOODLANDS CRES,45,7
WOODLANDS DR 52,10,1
WOODLANDS DR 70,23,3
WOODLANDS ST 31,10,1
WOODLANDS ST 81,5,1
YISHUN AVE 4,3,1
YISHUN CTRL,151,12
YISHUN ST 11,20,3
YISHUN ST 31,8,2
YISHUN ST 41,23,2
YISHUN ST 61,14,1
YISHUN ST 71,19,2
YISHUN ST 72,3,1
YISHUN ST 81,3,1
YUNG AN RD,3,1
ZION RD,8,1
