Predicted Residential Area,Total Requests,Number of Users
ADMIRALTY DR,4,1
ANCHORVALE CRES,4,1
ANG MO KIO AVE 4,4,1
ANG MO KIO AVE 5,4,1
ANG MO KIO AVE 8,4,1
ANG MO KIO ST 11,4,1
BANGKIT RD,4,1
BEDOK CTRL,12,3
BEDOK NTH AVE 1,4,1
BEDOK NTH AVE 4,4,1
BEDOK NTH RD,4,1
BEDOK NTH ST 1,4,1
BEDOK NTH ST 3,4,1
BEDOK NTH ST 4,4,1
BEDOK RESERVOIR RD,4,1
BEDOK RESERVOIR VIEW,8,2
BEDOK STH RD,4,1
BISHAN ST 12,24,6
BISHAN ST 13,11,3
BISHAN ST 22,12,3
BISHAN ST 23,4,1
BISHAN ST 24,4,1
BOON LAY DR,4,1
BOON LAY PL,12,3
BT BATOK CTRL,4,1
BT BATOK EAST AVE 5,4,1
BT BATOK ST 11,4,1
BT BATOK ST 34,16,4
BT BATOK ST 51,4,1
BT BATOK ST 52,4,1
BT MERAH CTRL,4,1
BT MERAH LANE 1,4,1
BT PANJANG RING RD,4,1
BUANGKOK CRES,4,1
C'WEALTH DR,4,1
CHAI CHEE AVE,4,1
CHAI CHEE ST,11,3
CHANGI VILLAGE RD,7,2
CHOA CHU KANG AVE 3,8,2
CHOA CHU KANG AVE 4,4,1
CHOA CHU KANG CRES,4,1
CHOA CHU KANG DR,4,1
CHOA CHU KANG ST 52,4,1
CHOA CHU KANG ST 62,4,1
CIRCUIT RD,4,1
CLARENCE LANE,4,1
CLEMENTI AVE 4,4,1
CLEMENTI ST 11,4,1
CLEMENTI ST 13,4,1
COMPASSVALE CRES,4,1
DELTA AVE,4,1
DORSET RD,8,2
ELIAS RD,8,2
EUNOS CRES,4,1
FAJAR RD,4,1
FERNVALE LANE,4,1
FERNVALE RD,4,1
GEYLANG EAST CTRL,4,1
GHIM MOH LINK,4,1
HENDERSON CRES,4,1
HOUGANG AVE 3,4,1
HOUGANG AVE 8,4,1
HOUGANG CTRL,32,8
HOUGANG ST 11,3,1
HOUGANG ST 52,4,1
HOUGANG ST 92,12,3
INDUS RD,4,1
JELAPANG RD,4,1
JLN KAYU,4,1
JLN TECK WHYE,4,1
JOO CHIAT RD,4,1
JURONG EAST ST 24,12,3
JURONG WEST AVE 3,4,1
JURONG WEST ST 93,12,3
KALLANG BAHRU,4,1
KANG CHING RD,4,1
KENT RD,4,1
KIM TIAN PL,4,1
LENGKONG TIGA,4,1
LOR 7 TOA PAYOH,4,1
LOR AH SOO,4,1
MARINE DR,4,1
MARINE TER,4,1
MARSILING DR,4,1
MOH GUAN TER,4,1
NEW UPP CHANGI RD,4,1
PANDAN GDNS,4,1
PASIR RIS DR 3,40,10
PASIR RIS ST 11,3,1
PASIR RIS ST 53,4,1
PASIR RIS ST 71,7,2
PINE CL,12,3
POTONG PASIR AVE 1,4,1
PUNGGOL DR,12,3
PUNGGOL EAST,11,3
PUNGGOL RD,16,4
PUNGGOL WAY,4,1
RIVERVALE DR,4,1
SAGO LANE,4,1
SEMBAWANG CL,4,1
SEMBAWANG CRES,8,2
SEMBAWANG DR,11,3
SENGKANG CTRL,24,6
SENGKANG EAST AVE,3,1
SENGKANG EAST WAY,4,1
SENJA RD,4,1
SERANGOON NTH AVE 1,4,1
SIMEI RD,4,1
SIMEI ST 1,8,2
SMITH ST,4,1
STIRLING RD,12,3
TAMAN HO SWEE,4,1
TAMPINES AVE 4,4,1
TAMPINES AVE 9,4,1
TAMPINES ST 22,44,11
TAMPINES ST 34,4,1
TAMPINES ST 43,4,1
TAMPINES ST 44,12,3
TAMPINES ST 45,8,2
TAMPINES ST 82,8,2
TAMPINES ST 83,8,2
TANGLIN HALT RD,4,1
TELOK BLANGAH DR,4,1
TELOK BLANGAH RISE,8,2
TELOK BLANGAH ST 31,4,1
TG PAGAR PLAZA,8,2
TIONG BAHRU RD,8,2
TOA PAYOH CTRL,4,1
TOWNER RD,4,1
UBI AVE 1,4,1
UPP SERANGOON RD,4,1
WELLINGTON CIRCLE,4,1
WOODLANDS CRES,8,2
WOODLANDS DR 50,3,1
WOODLANDS DR 60,4,1
WOODLANDS DR 62,4,1
WOODLANDS DR 70,11,3
WOODLANDS ST 31,4,1
YISHUN AVE 1,4,1
YISHUN AVE 3,4,1
YISHUN AVE 4,4,1
YISHUN CTRL,27,7
YISHUN ST 11,19,5
YISHUN ST 21,8,2
YISHUN ST 22,4,1
YISHUN ST 41,8,2
YISHUN ST 61,8,2
YISHUN ST 71,16,4
