Predicted Residential Area,Total Requests,Number of Users
ADMIRALTY DR,12,2
ANG MO KIO AVE 10,5,1
ANG MO KIO AVE 4,7,1
BAIN ST,3,1
BEDOK NTH RD,4,1
BEDOK RESERVOIR RD,8,1
BEDOK RESERVOIR VIEW,6,2
BEDOK STH RD,23,4
BISHAN ST 12,50,6
BISHAN ST 13,3,1
BISHAN ST 22,8,1
BISHAN ST 23,13,2
BISHAN ST 24,17,3
BOON LAY DR,29,3
BOON LAY PL,20,4
BT BATOK CTRL,49,6
BT BATOK ST 25,10,1
BT BATOK ST 34,18,2
BT BATOK WEST AVE 6,10,1
BT MERAH CTRL,4,1
BT MERAH LANE 1,4,1
BT MERAH VIEW,10,1
BT PANJANG RING RD,35,5
BUANGKOK CRES,7,1
C'WEALTH AVE,5,1
C'WEALTH CRES,4,1
CANBERRA LINK,6,1
CHANGI VILLAGE RD,10,1
CHOA CHU KANG AVE 3,26,4
CHOA CHU KANG CRES,4,1
CHOA CHU KANG DR,4,1
CHOA CHU KANG ST 54,4,1
CLARENCE LANE,10,2
CLEMENTI AVE 4,25,3
CLEMENTI ST 11,9,1
CLEMENTI ST 12,3,1
COMPASSVALE LANE,9,1
FAJAR RD,8,1
FERNVALE LINK,9,1
FERNVALE RD,6,1
FRENCH RD,5,1
GEYLANG EAST CTRL,9,1
GHIM MOH LINK,7,1
HOUGANG AVE 3,24,4
HOUGANG AVE 6,10,1
HOUGANG AVE 8,19,2
HOUGANG CTRL,45,6
HOUGANG ST 11,9,1
HOUGANG ST 51,3,1
INDUS RD,3,1
JLN BAHAGIA,15,2
JLN KAYU,10,1
JLN TECK WHYE,14,2
JOO CHIAT RD,4,1
JURONG EAST ST 24,40,6
JURONG WEST CTRL 1,3,1
JURONG WEST ST 52,10,1
JURONG WEST ST 64,9,1
JURONG WEST ST 81,3,1
JURONG WEST ST 91,19,2
JURONG WEST ST 93,45,6
KALLANG BAHRU,14,2
KIM CHENG ST,4,1
KIM KEAT AVE,4,1
KIM KEAT LINK,8,2
KLANG LANE,9,1
LENGKOK BAHRU,10,1
LOMPANG RD,7,2
LOR 3 GEYLANG,10,1
LOR 7 TOA PAYOH,3,1
MACPHERSON LANE,3,1
MARINE TER,17,3
MARSILING DR,12,2
OLD AIRPORT RD,10,1
OWEN RD,13,2
PASIR RIS DR 3,74,10
PASIR RIS DR 6,15,2
PASIR RIS ST 21,18,2
PASIR RIS ST 53,4,1
PAYA LEBAR WAY,32,5
PINE CL,8,1
POTONG PASIR AVE 1,10,1
PUNGGOL RD,32,4
REDHILL RD,10,1
SEMBAWANG CRES,10,1
SEMBAWANG DR,18,3
SEMBAWANG VISTA,10,1
SENGKANG CTRL,81,10
SENGKANG EAST AVE,8,1
SERANGOON AVE 4,5,1
SERANGOON CTRL,20,2
SERANGOON NTH AVE 4,10,1
SIMEI LANE,7,1
SIN MING AVE,9,1
SUMANG LINK,9,1
TAMAN HO SWEE,9,1
TAMPINES CTRL 7,7,1
TAMPINES CTRL 8,10,1
TAMPINES ST 11,10,1
TAMPINES ST 22,87,10
TAMPINES ST 33,9,1
TAMPINES ST 42,3,1
TAMPINES ST 44,31,4
TAMPINES ST 82,8,1
TAMPINES ST 83,3,1
TAMPINES ST 91,10,1
TANGLIN HALT RD,9,1
TECK WHYE CRES,9,2
TECK WHYE LANE,3,1
TELOK BLANGAH CRES,9,1
TELOK BLANGAH DR,19,2
TELOK BLANGAH WAY,10,1
TG PAGAR PLAZA,10,1
TIONG BAHRU RD,7,1
TOA PAYOH NTH,12,3
TOH YI DR,8,1
UBI AVE 1,3,1
UPP SERANGOON RD,10,2
WHAMPOA DR,6,1
WOODLANDS CRES,5,1
WOODLANDS DR 70,13,2
WOODLANDS ST 13,3,1
WOODLANDS ST 41,3,1
YISHUN AVE 11,10,1
YISHUN AVE 3,7,1
YISHUN CTRL,36,4
YISHUN ST 11,32,4
YISHUN ST 22,10,1
YISHUN ST 61,8,1
YISHUN ST 71,9,1
YUNG KUANG RD,9,2
YUNG SHENG RD,9,1
ZION RD,6,1
