Predicted Residential Area,Total Requests,Number of Users
ANG MO KIO AVE 4,11,2
BEDOK CTRL,19,3
BEDOK NTH RD,7,1
BEDOK NTH ST 1,4,1
BEDOK RESERVOIR RD,16,2
BISHAN ST 12,43,7
BISHAN ST 13,21,3
BISHAN ST 22,8,2
BISHAN ST 23,3,1
BISHAN ST 24,16,2
BOON KENG RD,16,2
BOON LAY DR,5,1
BOON LAY PL,3,1
BT BATOK CTRL,15,3
BT BATOK WEST AVE 4,7,1
BT PANJANG RING RD,52,9
BUANGKOK CRES,11,2
C'WEALTH CRES,6,1
CANBERRA RD,3,1
CHAI CHEE ST,6,1
CHANGI VILLAGE RD,12,2
CHIN SWEE RD,6,2
CHOA CHU KANG AVE 3,6,1
CHOA CHU KANG AVE 4,8,1
CHOA CHU KANG DR,8,1
CLARENCE LANE,10,2
CLEMENTI AVE 3,8,1
CLEMENTI AVE 4,14,4
CLEMENTI AVE 5,8,1
EVERTON PK,3,1
FAJAR RD,14,2
FERNVALE RD,6,2
GEYLANG BAHRU,11,2
GEYLANG EAST AVE 1,3,1
GEYLANG EAST CTRL,7,1
HO CHING RD,7,1
HOUGANG AVE 1,11,2
HOUGANG AVE 3,3,1
HOUGANG CTRL,23,4
HOUGANG ST 31,8,1
HOUGANG ST 52,8,1
HOUGANG ST 91,8,1
HOUGANG ST 92,6,1
INDUS RD,8,1
JELLICOE RD,4,1
JLN BAHAGIA,3,1
JLN BT HO SWEE,4,1
JLN DAMAI,8,1
JLN TECK WHYE,4,1
JOO CHIAT RD,8,1
JURONG EAST ST 21,8,1
JURONG EAST ST 24,24,4
JURONG WEST CTRL 1,8,1
JURONG WEST ST 42,8,1
JURONG WEST ST 61,7,1
JURONG WEST ST 74,5,1
JURONG WEST ST 91,10,2
JURONG WEST ST 93,44,7
KALLANG BAHRU,3,1
KENT RD,5,1
KRETA AYER RD,3,1
LENGKOK BAHRU,8,1
LOMPANG RD,4,1
MARINE DR,6,1
MARINE TER,19,3
MARSILING CRES,6,1
MARSILING DR,7,1
MARSILING RISE,3,1
MONTREAL DR,6,1
MOULMEIN RD,3,1
NEW UPP CHANGI RD,6,1
OLD AIRPORT RD,28,5
PASIR RIS DR 1,8,1
PASIR RIS DR 10,8,1
PASIR RIS DR 3,70,11
PASIR RIS DR 6,3,1
PASIR RIS ST 53,3,1
PASIR RIS ST 71,3,1
PASIR RIS ST 72,5,1
PAYA LEBAR WAY,7,2
PETIR RD,3,1
PINE CL,5,1
POTONG PASIR AVE 3,7,1
PUNGGOL FIELD,8,1
PUNGGOL RD,46,6
PUNGGOL WALK,7,1
PUNGGOL WAY,5,1
QUEEN ST,4,1
RIVERVALE CRES,8,1
SEGAR RD,7,2
SELEGIE RD,7,1
SEMBAWANG CRES,4,1
SEMBAWANG DR,6,1
SENGKANG CTRL,51,9
SENJA LINK,7,1
SERANGOON AVE 1,8,1
SERANGOON AVE 4,3,1
SERANGOON CTRL,21,4
SERANGOON NTH AVE 1,8,1
SIMEI LANE,3,1
SIMEI ST 5,7,1
SIMS DR,3,1
SIMS PL,24,5
SMITH ST,8,1
ST. GEORGE'S LANE,3,1
TAMPINES ST 22,44,7
TAMPINES ST 33,3,1
TAMPINES ST 34,7,1
TAMPINES ST 83,6,1
TANGLIN HALT RD,4,1
TAO CHING RD,7,1
TECK WHYE CRES,11,3
TG PAGAR PLAZA,8,1
TIONG BAHRU RD,11,2
TOA PAYOH NTH,12,2
UBI AVE 1,14,3
UPP BOON KENG RD,8,1
UPP SERANGOON RD,8,1
WELLINGTON CIRCLE,4,1
WOODLANDS AVE 1,7,1
WOODLANDS CRES,12,3
WOODLANDS DR 40,21,4
WOODLANDS DR 70,17,3
WOODLANDS ST 31,8,1
YISHUN AVE 11,7,1
YISHUN AVE 3,11,2
YISHUN CTRL,90,13
YISHUN ST 11,7,1
YISHUN ST 72,25,4
