Predicted Residential Area,Total Requests,Number of Users
ALJUNIED RD,3,1
ANCHORVALE ST,3,1
ANG MO KIO AVE 3,3,1
ANG MO KIO AVE 4,3,1
ANG MO KIO AVE 5,8,2
ANG MO KIO AVE 6,3,1
ANG MO KIO ST 32,4,1
BANGKIT RD,3,1
BEDOK CTRL,4,1
BEDOK NTH ST 1,8,2
BEDOK NTH ST 3,4,1
BEDOK RESERVOIR RD,4,1
BEDOK STH RD,4,1
BISHAN ST 12,15,4
BISHAN ST 13,4,1
BISHAN ST 22,15,4
BISHAN ST 23,4,1
BISHAN ST 24,13,4
BOON KENG RD,7,2
BOON LAY AVE,7,2
BOON LAY DR,12,3
BOON LAY PL,11,3
BT BATOK CTRL,11,3
BT BATOK EAST AVE 3,4,1
BT BATOK ST 34,12,3
BT BATOK ST 51,7,2
BT BATOK ST 52,4,1
BT MERAH CTRL,4,1
BT MERAH LANE 1,3,1
BT MERAH VIEW,8,2
BT PANJANG RING RD,23,6
BT PURMEI RD,3,1
BUANGKOK CRES,13,4
CANBERRA RD,4,1
CHAI CHEE AVE,3,1
CHAI CHEE ST,4,1
CHANGI VILLAGE RD,4,1
CHOA CHU KANG AVE 4,4,1
CHOA CHU KANG DR,8,2
CHOA CHU KANG LOOP,3,1
CHOA CHU KANG NTH 5,4,1
CHOA CHU KANG ST 62,8,2
CLARENCE LANE,18,5
CLEMENTI AVE 1,4,1
CLEMENTI WEST ST 2,4,1
EUNOS CRES,3,1
EVERTON PK,3,1
FARRER RD,7,2
FERNVALE LANE,4,1
GEYLANG BAHRU,3,1
GHIM MOH RD,4,1
GLOUCESTER RD,4,1
HOLLAND CL,3,1
HOLLAND DR,4,1
HOUGANG AVE 3,8,2
HOUGANG AVE 6,4,1
HOUGANG CTRL,15,4
HOUGANG ST 11,3,1
HOUGANG ST 52,3,1
INDUS RD,12,3
JELAPANG RD,6,2
JLN BAHAGIA,4,1
JLN BT MERAH,4,1
JLN KLINIK,4,1
JLN TECK WHYE,8,2
JOO CHIAT RD,3,1
JURONG EAST ST 21,3,1
JURONG EAST ST 24,17,5
JURONG WEST AVE 1,4,1
JURONG WEST CTRL 1,3,1
JURONG WEST ST 42,3,1
JURONG WEST ST 64,4,1
JURONG WEST ST 65,4,1
JURONG WEST ST 71,4,1
JURONG WEST ST 91,4,1
JURONG WEST ST 93,7,2
KALLANG BAHRU,4,1
KIM TIAN PL,4,1
KIM TIAN RD,3,1
LOR 8 TOA PAYOH,4,1
LOR AH SOO,3,1
MARINE TER,4,1
MARSILING DR,8,2
MARSILING RISE,4,1
MOH GUAN TER,4,1
MONTREAL LINK,3,1
OLD AIRPORT RD,10,3
PASIR RIS DR 3,11,3
PASIR RIS ST 71,4,1
PENDING RD,8,2
POTONG PASIR AVE 1,3,1
PUNGGOL EAST,4,1
PUNGGOL FIELD,3,1
PUNGGOL FIELD WALK,7,2
PUNGGOL PL,4,1
PUNGGOL RD,10,3
PUNGGOL WALK,3,1
ROWELL RD,3,1
SEMBAWANG CL,7,2
SEMBAWANG DR,11,3
SEMBAWANG VISTA,3,1
SENGKANG CTRL,30,8
SERANGOON AVE 3,4,1
SERANGOON CTRL,7,2
SERANGOON NTH AVE 1,7,2
SILAT AVE,3,1
SIMEI RD,3,1
SIMEI ST 1,4,1
SIMS DR,4,1
SIMS PL,4,1
SIN MING AVE,4,1
SMITH ST,3,1
ST. GEORGE'S LANE,12,3
TAMPINES AVE 4,3,1
TAMPINES AVE 9,3,1
TAMPINES ST 22,17,5
TAMPINES ST 23,8,2
TAMPINES ST 33,4,1
TAMPINES ST 41,4,1
TAMPINES ST 45,3,1
TAMPINES ST 82,4,1
TAMPINES ST 84,4,1
TEBAN GDNS RD,3,1
TECK WHYE AVE,3,1
TECK WHYE LANE,4,1
TELOK BLANGAH HTS,3,1
TG PAGAR PLAZA,6,2
TIONG BAHRU RD,3,1
TOA PAYOH EAST,4,1
TOA PAYOH NTH,7,2
TOH GUAN RD,3,1
TOWNER RD,8,2
UPP SERANGOON RD,7,2
WOODLANDS CRES,4,1
WOODLANDS DR 40,4,1
WOODLANDS DR 50,4,1
WOODLANDS DR 52,4,1
WOODLANDS DR 60,3,1
WOODLANDS DR 70,4,1
WOODLANDS DR 73,4,1
YISHUN CTRL,20,6
YISHUN RING RD,4,1
YISHUN ST 11,15,4
YISHUN ST 20,7,2
YISHUN ST 21,4,1
YISHUN ST 31,4,1
YISHUN ST 41,9,3
YISHUN ST 61,7,2
YISHUN ST 71,18,5
YISHUN ST 72,11,3
