Predicted Residential Area,Total Requests,Number of Users
ANG MO KIO AVE 4,21,4
BANGKIT RD,12,2
BEDOK CTRL,31,6
BEDOK NTH AVE 1,6,1
BEDOK NTH RD,6,1
BEDOK NTH ST 2,12,2
BEDOK RESERVOIR RD,16,3
BEDOK STH RD,3,1
BISHAN ST 12,24,5
BISHAN ST 22,12,2
BISHAN ST 23,6,1
BOON LAY DR,12,3
BOON LAY PL,12,2
BT BATOK CTRL,16,3
BT BATOK ST 34,24,4
BT BATOK ST 51,12,2
BT MERAH VIEW,6,1
BT PANJANG RING RD,31,6
BT PURMEI RD,6,1
BUANGKOK CRES,16,3
CANBERRA LINK,6,1
CHAI CHEE RD,6,1
CHOA CHU KANG DR,8,2
CHOA CHU KANG LOOP,12,2
CHOA CHU KANG ST 54,6,1
CLARENCE LANE,9,2
CLEMENTI AVE 4,17,3
CLEMENTI WEST ST 2,6,1
DEPOT RD,3,1
EUNOS RD 5,6,1
FARRER RD,3,1
FERNVALE LANE,6,1
GEYLANG EAST CTRL,3,1
GHIM MOH LINK,5,1
HAVELOCK RD,5,1
HOLLAND CL,6,1
HOUGANG AVE 1,6,1
HOUGANG AVE 3,6,1
HOUGANG AVE 8,5,1
HOUGANG AVE 9,6,1
HOUGANG CTRL,43,9
HOUGANG ST 52,12,2
HOUGANG ST 92,6,1
INDUS RD,9,2
JELAPANG RD,5,1
JLN BAHAGIA,10,3
JLN MEMBINA,3,1
JLN TECK WHYE,6,1
JOO CHIAT RD,6,1
JOO SENG RD,12,2
JURONG EAST ST 24,28,5
JURONG EAST ST 31,3,1
JURONG WEST ST 61,6,1
JURONG WEST ST 71,6,1
JURONG WEST ST 81,6,1
JURONG WEST ST 93,35,6
KENT RD,6,1
KIM TIAN RD,4,1
KLANG LANE,6,1
LOMPANG RD,6,1
LOR 8 TOA PAYOH,6,1
LOR AH SOO,9,2
MACPHERSON LANE,6,1
MARINE TER,6,1
MARSILING DR,12,2
MARSILING LANE,6,1
MEI LING ST,6,1
MOH GUAN TER,8,2
MONTREAL DR,6,1
OLD AIRPORT RD,6,1
PASIR RIS DR 3,43,8
PASIR RIS ST 11,4,1
PASIR RIS ST 51,3,1
PASIR RIS ST 53,30,5
PAYA LEBAR WAY,4,1
PENDING RD,6,1
PINE CL,6,1
PUNGGOL EAST,9,2
PUNGGOL RD,41,8
QUEEN'S CL,6,1
REDHILL LANE,6,1
RIVERVALE DR,3,1
RIVERVALE WALK,6,1
SEMBAWANG CL,6,1
SEMBAWANG DR,21,4
SENGKANG CTRL,35,8
SENJA RD,9,2
SERANGOON CTRL,6,1
SERANGOON NTH AVE 1,6,1
SIMEI RD,9,2
SIMEI ST 1,6,1
SIMS DR,3,1
SIMS PL,3,1
SMITH ST,6,1
SUMANG LINK,6,1
TAMPINES AVE 4,6,1
TAMPINES CTRL 1,3,1
TAMPINES ST 22,27,5
TAMPINES ST 33,4,1
TAMPINES ST 42,6,1
TAMPINES ST 81,3,1
TAMPINES ST 82,4,1
TAMPINES ST 83,6,1
TAMPINES ST 84,6,1
TECK WHYE CRES,4,1
TG PAGAR PLAZA,12,3
TIONG BAHRU RD,10,2
TOA PAYOH NTH,6,1
TOH GUAN RD,6,1
UBI AVE 1,12,2
WEST COAST RD,6,2
WHAMPOA STH,4,1
WOODLANDS AVE 1,6,1
WOODLANDS AVE 4,4,1
WOODLANDS CRES,11,3
WOODLANDS DR 40,9,2
WOODLANDS DR 50,6,1
WOODLANDS DR 60,6,1
WOODLANDS DR 70,12,2
YISHUN CTRL,12,2
YISHUN RING RD,6,1
YISHUN ST 11,30,5
YISHUN ST 21,16,3
YISHUN ST 41,12,2
YISHUN ST 51,5,1
YISHUN ST 61,10,2
YISHUN ST 71,6,1
YISHUN ST 72,21,4
YUNG KUANG RD,3,1
YUNG SHENG RD,6,1
ZION RD,6,2
