Predicted Residential Area,Total Requests,Number of Users
ADMIRALTY LINK,19,1
ANG MO KIO AVE 10,21,2
ANG MO KIO AVE 4,49,3
ANG MO KIO AVE 9,19,1
BAIN ST,7,2
BEDOK CTRL,35,2
BEDOK NTH RD,18,1
BEDOK NTH ST 4,7,1
BEDOK RESERVOIR VIEW,17,1
BEDOK STH RD,16,1
BISHAN ST 12,85,6
BISHAN ST 13,36,3
BISHAN ST 22,23,2
BISHAN ST 24,24,2
BOON LAY DR,15,1
BOON LAY PL,32,5
BOON TIONG RD,3,1
BT BATOK CTRL,36,4
BT BATOK ST 25,3,1
BT BATOK ST 34,6,2
BT BATOK WEST AVE 7,17,1
BT MERAH VIEW,17,3
BT PANJANG RING RD,30,2
BT PURMEI RD,11,3
BUANGKOK CRES,31,2
CAMBRIDGE RD,3,1
CANBERRA RD,17,1
CHANDER RD,6,1
CHANGI VILLAGE RD,24,3
CHOA CHU KANG AVE 3,24,4
CHOA CHU KANG CRES,5,1
CHOA CHU KANG DR,53,5
CHOA CHU KANG ST 54,4,1
CHOA CHU KANG ST 62,5,1
CLARENCE LANE,3,1
CLEMENTI WEST ST 2,7,2
COMPASSVALE ST,13,1
DORSET RD,17,1
EDGEDALE PLAINS,16,1
ELIAS RD,19,1
EUNOS CRES,23,3
FRENCH RD,5,1
HAIG RD,5,1
HENDERSON CRES,3,1
HO CHING RD,3,1
HOLLAND CL,14,1
HOUGANG AVE 1,16,1
HOUGANG AVE 3,19,1
HOUGANG CTRL,132,9
HOUGANG ST 91,16,1
INDUS RD,3,1
JLN BERSEH,17,1
JLN TECK WHYE,3,1
JURONG EAST ST 24,51,3
JURONG WEST AVE 1,10,1
JURONG WEST ST 91,3,1
JURONG WEST ST 93,44,3
KALLANG BAHRU,6,2
KENT RD,3,1
KIM KEAT AVE,11,1
KIM KEAT LINK,25,5
KLANG LANE,22,2
LIM LIAK ST,4,1
LOMPANG RD,6,1
LOR 3 GEYLANG,3,1
LOR AH SOO,12,2
LOWER DELTA RD,13,1
MARSILING DR,28,2
MARSILING LANE,3,1
OLD AIRPORT RD,3,1
PASIR RIS DR 10,32,2
PASIR RIS DR 3,49,3
PASIR RIS ST 53,16,1
PAYA LEBAR WAY,8,1
PENDING RD,18,1
PETIR RD,16,1
POTONG PASIR AVE 1,18,1
PUNGGOL DR,18,1
PUNGGOL FIELD WALK,17,1
PUNGGOL RD,52,5
REDHILL LANE,4,1
RIVERVALE DR,7,2
SEGAR RD,14,1
SEMBAWANG DR,31,2
SENGKANG CTRL,105,8
SERANGOON CTRL,7,1
SIMS DR,14,3
SIMS PL,9,1
SIN MING RD,4,1
ST. GEORGE'S LANE,4,1
TAMAN HO SWEE,28,2
TAMPINES AVE 4,16,1
TAMPINES CTRL 7,17,1
TAMPINES ST 22,151,13
TAMPINES ST 43,8,1
TAMPINES ST 44,22,2
TAMPINES ST 45,17,2
TAMPINES ST 71,17,1
TAMPINES ST 83,6,1
TEBAN GDNS RD,3,1
TECK WHYE CRES,49,6
TELOK BLANGAH DR,4,1
TG PAGAR PLAZA,7,1
TOA PAYOH EAST,10,1
TOA PAYOH NTH,14,2
UBI AVE 1,21,2
UPP SERANGOON RD,11,1
WOODLANDS AVE 6,4,1
WOODLANDS CIRCLE,17,1
WOODLANDS CRES,44,8
WOODLANDS DR 16,21,2
WOODLANDS DR 40,18,1
WOODLANDS DR 50,23,2
WOODLANDS DR 60,3,1
WOODLANDS DR 70,38,3
WOODLANDS RING RD,4,1
YISHUN CTRL,214,14
YISHUN RING RD,17,1
YISHUN ST 11,23,2
YISHUN ST 41,30,2
YISHUN ST 71,16,1
YISHUN ST 72,21,2
YUNG AN RD,3,1
YUNG HO RD,3,1
ZION RD,4,1
