Predicted Residential Area,Total Requests,Number of Users
ADMIRALTY DR,3,1
ANG MO KIO AVE 10,6,2
ANG MO KIO AVE 5,3,1
BANGKIT RD,3,1
BEDOK CTRL,18,6
BEDOK NTH RD,3,1
BEDOK NTH ST 3,3,1
BEDOK STH RD,3,1
BEO CRES,3,1
BISHAN ST 12,24,8
BISHAN ST 22,6,2
BISHAN ST 24,9,3
BOON LAY AVE,3,1
BT BATOK CTRL,21,7
BT BATOK ST 25,3,1
BT BATOK ST 34,12,4
BT BATOK ST 52,3,1
BT PANJANG RING RD,18,6
BUANGKOK CRES,6,2
BUANGKOK GREEN,3,1
C'WEALTH AVE WEST,6,2
CANBERRA LINK,3,1
CANBERRA RD,3,1
CASSIA CRES,3,1
CHAI CHEE AVE,6,2
CHAI CHEE ST,9,3
CHANGI VILLAGE RD,3,1
CHOA CHU KANG DR,3,1
CLEMENTI AVE 4,6,2
CLEMENTI ST 11,3,1
CLEMENTI WEST ST 2,3,1
COMPASSVALE CRES,3,1
DEPOT RD,3,1
EDGEDALE PLAINS,6,2
EDGEFIELD PLAINS,3,1
EUNOS CRES,6,2
EUNOS RD 5,3,1
GEYLANG EAST CTRL,6,2
GHIM MOH LINK,3,1
GHIM MOH RD,3,1
HOUGANG AVE 3,3,1
HOUGANG AVE 4,3,1
HOUGANG AVE 8,3,1
HOUGANG CTRL,18,6
HOUGANG ST 11,9,3
HOUGANG ST 51,6,2
HOUGANG ST 61,3,1
INDUS RD,9,3
JLN BERSEH,3,1
JLN BT MERAH,3,1
JLN DUA,3,1
JLN KAYU,3,1
JOO CHIAT RD,3,1
JOO SENG RD,3,1
JURONG EAST AVE 1,3,1
JURONG EAST ST 24,6,2
JURONG EAST ST 32,3,1
JURONG WEST CTRL 1,6,2
JURONG WEST ST 93,3,1
KALLANG BAHRU,3,1
KANG CHING RD,3,1
KIM KEAT AVE,3,1
LENGKONG TIGA,3,1
LOR 2 TOA PAYOH,3,1
LOR LIMAU,3,1
MARINE CRES,6,2
MARINE TER,12,4
MARSILING DR,9,3
NEW UPP CHANGI RD,3,1
OLD AIRPORT RD,6,2
OWEN RD,3,1
PANDAN GDNS,6,2
PASIR RIS DR 3,3,1
PASIR RIS ST 11,6,2
PASIR RIS ST 53,6,2
PAYA LEBAR WAY,6,2
PINE CL,6,2
POTONG PASIR AVE 1,6,2
PUNGGOL EAST,3,1
PUNGGOL RD,24,8
PUNGGOL WALK,3,1
REDHILL LANE,3,1
SEMBAWANG DR,12,4
SEMBAWANG WAY,3,1
SENGKANG CTRL,21,7
SENGKANG WEST WAY,3,1
SENJA RD,3,1
SERANGOON AVE 2,3,1
SERANGOON CTRL,15,5
SERANGOON NTH AVE 1,9,3
SILAT AVE,3,1
SIMS PL,12,4
SMITH ST,3,1
SUMANG LINK,3,1
TAMAN HO SWEE,6,2
TAMPINES AVE 4,6,2
TAMPINES CTRL 7,3,1
TAMPINES ST 22,24,8
TAMPINES ST 33,6,2
TAMPINES ST 44,9,3
TAMPINES ST 84,3,1
TAO CHING RD,3,1
TECK WHYE LANE,3,1
TELOK BLANGAH HTS,3,1
TELOK BLANGAH WAY,3,1
TG PAGAR PLAZA,3,1
TOH GUAN RD,3,1
UBI AVE 1,6,2
WATERLOO ST,3,1
WEST COAST RD,3,1
WHAMPOA STH,3,1
WOODLANDS CRES,9,3
WOODLANDS DR 50,6,2
WOODLANDS DR 70,6,2
YISHUN AVE 3,3,1
YISHUN CTRL,30,10
YISHUN CTRL 1,3,1
YISHUN ST 11,6,2
YISHUN ST 20,6,2
YISHUN ST 22,3,1
YISHUN ST 51,3,1
YISHUN ST 71,21,7
YISHUN ST 72,15,5
YUNG KUANG RD,3,1
