Predicted Residential Area,Total Requests,Number of Users
JURONG WEST AVE 1,22,4
JURONG WEST AVE 3,9,2
JURONG WEST AVE 5,10,2
JURONG WEST CTRL 1,48,13
JURONG WEST ST 25,21,3
JURONG WEST ST 42,61,13
JURONG WEST ST 52,13,2
JURONG WEST ST 61,36,6
JURONG WEST ST 64,31,6
JURONG WEST ST 65,70,11
JURONG WEST ST 71,37,5
JURONG WEST ST 73,4,1
JURONG WEST ST 74,22,3
JURONG WEST ST 81,38,10
JURONG WEST ST 91,60,11
JURONG WEST ST 93,683,95
KALLANG BAHRU,83,17
KANG CHING RD,16,5
KENT RD,59,12
KG KAYU RD,5,1
KIM CHENG ST,25,6
KIM KEAT AVE,36,6
KIM KEAT LINK,213,28
KIM PONG RD,3,1
KIM TIAN PL,20,3
KIM TIAN RD,34,8
KLANG LANE,94,11
KRETA AYER RD,6,2
LENGKOK BAHRU,23,3
LENGKONG TIGA,20,5
LIM LIAK ST,15,4
LOMPANG RD,123,19
LOR 1 TOA PAYOH,9,2
LOR 2 TOA PAYOH,3,1
LOR 3 GEYLANG,42,6
LOR 3 TOA PAYOH,15,1
LOR 4 TOA PAYOH,6,2
LOR 5 TOA PAYOH,21,4
LOR 6 TOA PAYOH,3,1
LOR 7 TOA PAYOH,7,2
LOR 8 TOA PAYOH,18,4
LOR AH SOO,61,11
LOR LEW LIAN,8,2
LOR LIMAU,3,1
LOWER DELTA RD,13,1
MACPHERSON LANE,36,6
MARINE CRES,32,6
MARINE DR,42,5
MARINE TER,200,41
MARSILING CRES,18,4
MARSILING DR,153,23
MARSILING LANE,25,7
MARSILING RISE,20,5
MCNAIR RD,8,2
MEI LING ST,9,2
MOH GUAN TER,29,8
MONTREAL DR,34,9
MONTREAL LINK,15,3
MOULMEIN RD,3,1
NEW MKT RD,16,3
NEW UPP CHANGI RD,60,13
OLD AIRPORT RD,226,49
OWEN RD,37,6
PANDAN GDNS,16,5
PASIR RIS DR 1,13,2
PASIR RIS DR 10,51,5
PASIR RIS DR 3,838,123
PASIR RIS DR 4,9,2
PASIR RIS DR 6,75,6
PASIR RIS ST 11,23,7
PASIR RIS ST 21,24,4
PASIR RIS ST 51,3,1
PASIR RIS ST 53,103,19
PASIR RIS ST 71,79,14
PASIR RIS ST 72,31,4
PAYA LEBAR WAY,110,22
PENDING RD,77,14
PETIR RD,27,3
PINE CL,87,17
PIPIT RD,15,4
POTONG PASIR AVE 1,143,18
POTONG PASIR AVE 2,11,2
POTONG PASIR AVE 3,10,2
PUNGGOL CTRL,18,4
PUNGGOL DR,102,16
PUNGGOL EAST,141,28
PUNGGOL FIELD,30,7
PUNGGOL FIELD WALK,39,6
PUNGGOL PL,23,5
PUNGGOL RD,988,113
PUNGGOL WALK,60,8
PUNGGOL WAY,36,7
QUEEN ST,4,1
QUEEN'S CL,18,4
QUEENSWAY,3,1
RACE COURSE RD,12,2
REDHILL CL,3,1
REDHILL LANE,25,5
REDHILL RD,10,1
RIVERVALE CRES,16,3
