Predicted Residential Area,Total Requests,Number of Users
ADMIRALTY DR,8,2
AH HOOD RD,5,1
ANG MO KIO AVE 4,7,1
BAIN ST,7,2
BANGKIT RD,10,1
BEDOK CTRL,42,5
BEDOK NTH RD,6,1
BEDOK NTH ST 1,8,1
BEDOK STH RD,3,1
BEO CRES,3,1
BISHAN ST 12,41,5
BISHAN ST 13,3,1
BISHAN ST 22,52,5
BISHAN ST 23,27,3
BISHAN ST 24,32,4
BOON LAY PL,23,2
BT BATOK CTRL,76,6
BT BATOK ST 34,17,2
BT BATOK ST 52,14,2
BT BATOK WEST AVE 8,12,1
BT MERAH VIEW,13,3
BT PANJANG RING RD,27,4
BUANGKOK CRES,16,2
C'WEALTH AVE,3,1
C'WEALTH CRES,3,1
CASSIA CRES,12,1
CHANGI VILLAGE RD,3,1
CHOA CHU KANG AVE 3,13,1
CHOA CHU KANG DR,29,3
CHOA CHU KANG LOOP,3,1
CLARENCE LANE,3,1
CLEMENTI AVE 4,37,3
COMPASSVALE WALK,7,1
DOVER CL EAST,13,1
EUNOS CRES,12,2
FERNVALE LANE,13,1
FERNVALE RD,4,1
FRENCH RD,4,1
GEYLANG EAST CTRL,18,3
GEYLANG SERAI,9,1
GLOUCESTER RD,4,1
HOLLAND CL,8,1
HOUGANG CTRL,55,6
HOUGANG ST 52,13,1
INDUS RD,13,1
JELAPANG RD,7,1
JLN BATU,5,1
JLN BT HO SWEE,12,1
JLN KLINIK,12,1
JLN TIGA,3,1
JOO CHIAT RD,7,1
JURONG EAST ST 24,27,3
JURONG WEST AVE 1,3,1
JURONG WEST ST 61,7,1
JURONG WEST ST 65,12,1
JURONG WEST ST 91,9,1
JURONG WEST ST 93,52,5
KALLANG BAHRU,3,1
KIM KEAT LINK,32,4
KIM TIAN PL,12,1
LENGKONG TIGA,7,1
LOMPANG RD,8,1
LOR 6 TOA PAYOH,3,1
LOR AH SOO,12,1
MARINE TER,29,4
MARSILING DR,11,1
MARSILING LANE,3,1
MARSILING RISE,4,1
MONTREAL DR,4,1
OLD AIRPORT RD,14,2
PASIR RIS DR 3,32,4
PASIR RIS ST 11,3,1
PASIR RIS ST 53,12,1
PAYA LEBAR WAY,8,2
PENDING RD,6,1
PINE CL,6,1
PUNGGOL DR,13,1
PUNGGOL EAST,12,1
PUNGGOL RD,136,12
REDHILL LANE,9,1
SEGAR RD,12,1
SEMBAWANG CRES,7,1
SEMBAWANG DR,29,3
SENGKANG CTRL,116,12
SENGKANG EAST AVE,12,1
SERANGOON AVE 4,12,1
SERANGOON CTRL,15,2
SIMEI RD,22,2
SIMEI ST 1,4,1
SIMS PL,3,1
STIRLING RD,13,1
TAMPINES ST 22,79,8
TAMPINES ST 33,18,2
TAMPINES ST 41,8,1
TAMPINES ST 44,12,1
TAMPINES ST 45,3,1
TAMPINES ST 72,4,1
TAMPINES ST 84,12,1
TEBAN GDNS RD,3,1
TECK WHYE CRES,8,2
TECK WHYE LANE,12,1
TELOK BLANGAH CRES,9,1
TOA PAYOH EAST,11,2
TOA PAYOH NTH,17,4
UBI AVE 1,6,1
UPP BOON KENG RD,5,1
WEST COAST RD,4,1
WOODLANDS CRES,24,6
WOODLANDS DR 70,10,2
WOODLANDS ST 13,12,1
YISHUN AVE 11,12,1
YISHUN AVE 3,13,1
YISHUN AVE 4,12,1
YISHUN CTRL,99,10
YISHUN RING RD,24,3
YISHUN ST 11,22,3
YISHUN ST 21,3,1
YISHUN ST 41,4,1
YISHUN ST 51,9,2
YISHUN ST 61,3,1
YISHUN ST 71,43,4
YISHUN ST 72,16,2
YUNG KUANG RD,10,2
ZION RD,19,2
