Predicted Residential Area,Total Requests,Number of Users
ADMIRALTY DR,12,1
ANCHORVALE LANE,7,1
ANCHORVALE RD,13,1
ANG MO KIO AVE 10,20,1
ANG MO KIO AVE 4,7,1
ANG MO KIO ST 31,3,1
BAIN ST,10,2
BANGKIT RD,20,1
BEACH RD,3,1
BEDOK CTRL,36,3
BEDOK NTH AVE 1,3,1
BEDOK NTH ST 2,14,1
BEDOK STH RD,16,1
BISHAN ST 12,72,10
BISHAN ST 13,19,2
BISHAN ST 22,58,4
BISHAN ST 24,9,2
BOON LAY DR,19,1
BOON LAY PL,19,1
BT BATOK ST 25,3,1
BT BATOK ST 34,34,2
BT BATOK ST 51,21,2
BT MERAH LANE 1,10,1
BT MERAH VIEW,18,1
BT PANJANG RING RD,22,1
CANTONMENT CL,3,1
CHAI CHEE AVE,21,1
CHAI CHEE ST,17,1
CHANGI VILLAGE RD,19,1
CHOA CHU KANG ST 64,20,1
CLARENCE LANE,55,3
CLEMENTI AVE 2,18,1
CLEMENTI AVE 4,20,1
CLEMENTI ST 11,13,1
EUNOS CRES,4,1
FARRER PK RD,3,1
FERNVALE LINK,3,1
FRENCH RD,10,1
GEYLANG BAHRU,23,1
GEYLANG EAST CTRL,4,1
GEYLANG SERAI,21,1
HAIG RD,29,5
HOLLAND DR,22,2
HOUGANG AVE 10,21,1
HOUGANG AVE 3,14,3
HOUGANG CTRL,263,13
HOUGANG ST 52,22,1
HOUGANG ST 61,3,1
HOUGANG ST 92,18,1
INDUS RD,21,1
JLN BAHAGIA,40,2
JLN BATU,11,1
JLN BERSEH,13,2
JLN BT HO SWEE,24,1
JLN KAYU,27,1
JLN MEMBINA,3,1
JLN TECK WHYE,28,2
JOO CHIAT RD,17,1
JOO SENG RD,3,1
JURONG EAST AVE 1,22,1
JURONG EAST ST 21,19,1
JURONG EAST ST 24,51,5
JURONG WEST ST 61,3,1
JURONG WEST ST 65,13,2
JURONG WEST ST 71,21,1
JURONG WEST ST 93,48,2
KENT RD,3,1
KIM KEAT LINK,26,3
LOR AH SOO,10,1
MARINE DR,20,1
MARINE TER,3,1
MARSILING LANE,3,1
NEW UPP CHANGI RD,14,1
OLD AIRPORT RD,9,2
PASIR RIS DR 3,103,7
PASIR RIS DR 6,20,1
PASIR RIS ST 71,20,1
PASIR RIS ST 72,6,1
PINE CL,5,1
PIPIT RD,3,1
POTONG PASIR AVE 1,17,1
POTONG PASIR AVE 2,8,1
PUNGGOL RD,91,7
PUNGGOL WALK,20,1
RIVERVALE WALK,17,1
SEGAR RD,23,1
SELEGIE RD,4,1
SEMBAWANG CL,11,1
SEMBAWANG DR,92,5
SENGKANG CTRL,174,8
SENJA LINK,7,1
SERANGOON AVE 2,22,1
SERANGOON CTRL,46,2
SERANGOON NTH AVE 1,21,1
SIMEI ST 4,22,1
SIMS DR,3,1
SIMS PL,26,1
SIN MING RD,4,1
SUMANG LINK,3,1
TAMAN HO SWEE,27,1
TAMPINES ST 22,114,6
TAMPINES ST 33,30,2
TAMPINES ST 41,21,1
TAMPINES ST 43,3,1
TAMPINES ST 44,54,2
TAMPINES ST 82,13,1
TAMPINES ST 83,5,1
TAO CHING RD,11,2
TECK WHYE CRES,89,9
TELOK BLANGAH CRES,9,1
TELOK BLANGAH DR,26,1
TELOK BLANGAH WAY,20,1
TG PAGAR PLAZA,5,1
TOH GUAN RD,4,1
UBI AVE 1,22,1
UPP ALJUNIED LANE,6,1
WHAMPOA STH,10,1
WOODLANDS AVE 6,19,1
WOODLANDS CRES,66,9
WOODLANDS DR 70,59,3
WOODLANDS ST 32,8,1
YISHUN AVE 4,19,1
YISHUN CTRL,152,11
YISHUN RING RD,21,1
YISHUN ST 11,67,5
YISHUN ST 31,4,1
YISHUN ST 41,24,1
YISHUN ST 51,22,2
YISHUN ST 71,24,2
YISHUN ST 72,7,2
YISHUN ST 81,4,1
ZION RD,3,1
