Predicted Residential Area,Total Requests,Number of Users
ALJUNIED RD,6,2
ANCHORVALE LANE,3,1
ANG MO KIO AVE 10,6,2
ANG MO KIO AVE 5,6,2
BANGKIT RD,6,2
BEDOK CTRL,9,3
BEDOK NTH ST 2,9,3
BEDOK RESERVOIR RD,3,1
BISHAN ST 12,27,9
BISHAN ST 13,3,1
BISHAN ST 22,12,4
BISHAN ST 23,3,1
BISHAN ST 24,9,3
BOON KENG RD,3,1
BOON LAY DR,6,2
BOON LAY PL,3,1
BT BATOK CTRL,6,2
BT BATOK ST 11,3,1
BT BATOK ST 21,6,2
BT BATOK ST 25,3,1
BT BATOK ST 33,3,1
BT BATOK ST 34,3,1
BT BATOK ST 51,3,1
BT MERAH CTRL,6,2
BT MERAH LANE 1,3,1
BT MERAH VIEW,3,1
BT PANJANG RING RD,15,5
BUANGKOK LINK,3,1
C'WEALTH AVE WEST,3,1
CANBERRA LINK,9,3
CANBERRA RD,3,1
CHAI CHEE ST,9,3
CHIN SWEE RD,3,1
CHOA CHU KANG AVE 4,3,1
CHOA CHU KANG DR,6,2
CHOA CHU KANG LOOP,6,2
CHOA CHU KANG NTH 6,3,1
CHOA CHU KANG ST 51,3,1
CHOA CHU KANG ST 54,3,1
CHOA CHU KANG ST 62,3,1
CLARENCE LANE,15,5
CLEMENTI AVE 2,3,1
CLEMENTI AVE 4,3,1
CLEMENTI ST 11,3,1
CLEMENTI WEST ST 1,3,1
COMPASSVALE BOW,3,1
COMPASSVALE RD,3,1
DOVER CL EAST,3,1
EUNOS CRES,3,1
EUNOS RD 5,3,1
FARRER PK RD,3,1
FERNVALE LANE,3,1
GEYLANG BAHRU,3,1
GEYLANG EAST CTRL,3,1
GEYLANG SERAI,6,2
HOUGANG AVE 3,3,1
HOUGANG CTRL,15,5
HOUGANG ST 11,3,1
HOUGANG ST 51,3,1
HOUGANG ST 52,9,3
HOUGANG ST 61,3,1
INDUS RD,9,3
JELAPANG RD,3,1
JLN BAHAGIA,9,3
JLN TENTERAM,3,1
JURONG EAST ST 24,15,5
JURONG WEST CTRL 1,6,2
JURONG WEST ST 42,3,1
JURONG WEST ST 64,3,1
JURONG WEST ST 65,3,1
JURONG WEST ST 81,6,2
JURONG WEST ST 93,24,8
KLANG LANE,3,1
LOR 3 GEYLANG,6,2
MARSILING CRES,3,1
MARSILING DR,3,1
MOH GUAN TER,3,1
NEW UPP CHANGI RD,3,1
OLD AIRPORT RD,6,2
PANDAN GDNS,6,2
PASIR RIS DR 3,9,3
PASIR RIS ST 21,3,1
PASIR RIS ST 53,3,1
PASIR RIS ST 71,6,2
PAYA LEBAR WAY,9,3
PENDING RD,3,1
PINE CL,3,1
POTONG PASIR AVE 1,3,1
PUNGGOL CTRL,3,1
PUNGGOL DR,12,4
PUNGGOL EAST,12,4
PUNGGOL PL,6,2
PUNGGOL RD,15,5
PUNGGOL WAY,3,1
RIVERVALE WALK,3,1
SAGO LANE,9,3
SELEGIE RD,6,2
SEMBAWANG CL,3,1
SEMBAWANG DR,3,1
SENGKANG CTRL,21,7
SENGKANG EAST AVE,3,1
SENGKANG WEST WAY,3,1
SERANGOON AVE 4,3,1
SIMS PL,3,1
SIN MING AVE,6,2
SIN MING RD,3,1
SMITH ST,6,2
STIRLING RD,3,1
TAMPINES ST 22,9,3
TAMPINES ST 23,3,1
TAMPINES ST 44,3,1
TAMPINES ST 82,3,1
TECK WHYE LANE,3,1
TELOK BLANGAH CRES,3,1
TELOK BLANGAH DR,3,1
TELOK BLANGAH WAY,3,1
TG PAGAR PLAZA,3,1
TIONG BAHRU RD,6,2
TOA PAYOH NTH,6,2
TOH YI DR,3,1
UPP SERANGOON RD,3,1
WEST COAST RD,3,1
WHAMPOA DR,6,2
WOODLANDS AVE 6,3,1
WOODLANDS DR 50,3,1
WOODLANDS DR 60,3,1
WOODLANDS DR 73,3,1
WOODLANDS RING RD,3,1
WOODLANDS ST 81,3,1
YISHUN AVE 11,3,1
YISHUN CTRL,21,7
YISHUN RING RD,6,2
YISHUN ST 11,3,1
YISHUN ST 21,3,1
YISHUN ST 31,3,1
YISHUN ST 41,3,1
YISHUN ST 51,6,2
YISHUN ST 71,3,1
YISHUN ST 72,15,5
YUNG KUANG RD,3,1
YUNG SHENG RD,3,1
