Predicted Residential Area,Total Requests,Number of Users
ADMIRALTY DR,3,1
ALJUNIED RD,4,1
ANCHORVALE RD,4,1
ANG MO KIO AVE 1,3,1
ANG MO KIO AVE 10,8,2
ANG MO KIO AVE 4,4,1
ANG MO KIO AVE 5,6,2
ANG MO KIO ST 52,4,1
BANGKIT RD,4,1
BEDOK CTRL,18,5
BEDOK NTH RD,4,1
BEDOK NTH ST 1,4,1
BEDOK RESERVOIR RD,3,1
BENDEMEER RD,3,1
BEO CRES,4,1
BISHAN ST 12,25,7
BISHAN ST 13,11,3
BISHAN ST 22,8,2
BISHAN ST 23,8,2
BISHAN ST 24,4,1
BOON KENG RD,6,2
BOON LAY AVE,3,1
BOON LAY DR,7,2
BOON LAY PL,3,1
BRIGHT HILL DR,4,1
BT BATOK CTRL,7,2
BT BATOK ST 31,4,1
BT BATOK ST 51,3,1
BT PANJANG RING RD,6,2
BUANGKOK CRES,4,1
CHAI CHEE AVE,6,2
CHANGI VILLAGE RD,6,2
CHOA CHU KANG AVE 3,4,1
CHOA CHU KANG DR,11,3
CHOA CHU KANG LOOP,4,1
CHOA CHU KANG ST 64,4,1
CLARENCE LANE,14,4
CLEMENTI ST 12,3,1
COMPASSVALE BOW,4,1
EDGEDALE PLAINS,3,1
EDGEFIELD PLAINS,4,1
EUNOS RD 5,3,1
EVERTON PK,3,1
GANGSA RD,3,1
GEYLANG BAHRU,4,1
GLOUCESTER RD,4,1
HOLLAND DR,3,1
HOUGANG CTRL,11,3
HOUGANG ST 31,4,1
HOUGANG ST 51,3,1
HOUGANG ST 61,4,1
HOUGANG ST 91,3,1
HOUGANG ST 92,4,1
JLN BAHAGIA,7,2
JLN BT HO SWEE,3,1
JLN BT MERAH,4,1
JLN DUA,4,1
JOO CHIAT RD,7,2
JURONG EAST ST 24,10,3
JURONG WEST CTRL 1,4,1
JURONG WEST ST 25,4,1
JURONG WEST ST 65,3,1
JURONG WEST ST 73,4,1
JURONG WEST ST 74,3,1
JURONG WEST ST 93,16,5
KALLANG BAHRU,4,1
KENT RD,3,1
LOMPANG RD,4,1
LOR 4 TOA PAYOH,3,1
LOR LEW LIAN,3,1
MACPHERSON LANE,4,1
MARINE TER,18,5
MOH GUAN TER,4,1
MONTREAL DR,3,1
NEW UPP CHANGI RD,13,4
OLD AIRPORT RD,10,3
PASIR RIS DR 3,32,9
PASIR RIS DR 4,4,1
PASIR RIS ST 71,4,1
PINE CL,4,1
PUNGGOL CTRL,3,1
PUNGGOL RD,17,5
PUNGGOL WAY,4,1
QUEEN'S CL,3,1
RACE COURSE RD,4,1
REDHILL CL,3,1
SEMBAWANG DR,35,10
SENGKANG CTRL,44,12
SENGKANG EAST WAY,3,1
SENGKANG WEST AVE,3,1
SERANGOON NTH AVE 1,4,1
SILAT AVE,4,1
SIMS PL,4,1
SIN MING AVE,3,1
TAMAN HO SWEE,4,1
TAMPINES AVE 4,4,1
TAMPINES AVE 8,3,1
TAMPINES ST 21,6,2
TAMPINES ST 22,36,10
TAMPINES ST 33,8,2
TAMPINES ST 41,4,1
TAMPINES ST 81,7,2
TELOK BLANGAH DR,3,1
TELOK BLANGAH WAY,3,1
TIONG BAHRU RD,12,3
TOA PAYOH NTH,4,1
TOH GUAN RD,4,1
TOWNER RD,3,1
UBI AVE 1,7,2
UPP BOON KENG RD,4,1
UPP CROSS ST,4,1
UPP SERANGOON RD,4,1
WELLINGTON CIRCLE,4,1
WHAMPOA DR,3,1
WOODLANDS AVE 6,4,1
WOODLANDS DR 53,4,1
WOODLANDS DR 60,3,1
WOODLANDS DR 70,10,3
WOODLANDS ST 13,3,1
WOODLANDS ST 31,3,1
YISHUN AVE 3,3,1
YISHUN AVE 4,4,1
YISHUN CTRL,49,13
YISHUN ST 11,35,9
YISHUN ST 20,4,1
YISHUN ST 21,4,1
YISHUN ST 41,3,1
YISHUN ST 51,3,1
YISHUN ST 71,26,7
YISHUN ST 72,3,1
YUNG KUANG RD,4,1
