Community,Twitter Handle,Similarity Score,Influence Score,Total Score
1146,newcars19,1.0,4.080022582927739e-05,0.7500102000564574
1118,myelectriccari1,0.9218993979291077,5.219672889067299e-06,0.691425853365053
1441,cjose293,0.8856280353617305,1.0537787051607585e-05,0.6642236609680607
546,caacarcom,0.8770969392920347,1.538155478547838e-05,0.6578265498577224
1466,u_cedd_what,0.8635015417513341,3.570813991182519e-05,0.6476350833484785
902,cnsinotruk,0.820639870092056,2.1086378693950914e-06,0.6154804297285092
228,kiamotorsin,0.4998692980685989,0.9505829709376737,0.6125477162858676
1076,reubenletlhaka1,0.8164674583875399,4.103016032468845e-06,0.612351619544663
1631,maostrega,0.8101222991371642,8.639201723462724e-06,0.607593884153304
659,anaconthebeat,0.8081995887000578,5.540217443185424e-05,0.6061635420686513
281,kenz300zx,0.7992255883710501,0.0021474249519489006,0.5999560475162748
1073,hassana86816854,0.789212871985632,6.654820759105272e-07,0.5919098203597429
842,justcarstrucks,0.785753175043086,8.195257177691043e-06,0.5893169300966089
1597,oxfordteddy,0.7788462504375044,7.76055413678099e-05,0.5841540892134703
1131,ricnvsilva,0.7781436557597865,6.392942678524643e-06,0.5836093400555095
1442,ukswevgroup,0.7778250484557501,7.040403321842202e-06,0.583370546442643
1653,cawarranty,0.7737926638325388,1.733683717346292e-05,0.5803488320836975
1256,einhybridcars,0.7723082484664637,1.960748768854174e-05,0.57923608822177
1607,tsubasahayashi7,0.7719573727144419,0.00010532454463276719,0.5789943606719896
14,kaiia_brown,0.49946779924425777,0.813242168656433,0.5779113915973015
1731,paladella,0.7672719373399738,1.8013665692380646e-05,0.5754584564214035
1241,gadgetsboy,0.7669981270674859,0.0003444763329501011,0.575334714383852
1508,channel__one_,0.7657495060134478,0.0014427376980141922,0.5746728139345895
772,einelectriccars,0.764771531186865,5.159530587102622e-05,0.5735915472166165
909,wwwyq6652186119,0.7644417704534818,1.2563251205555835e-06,0.5733316419213914
715,marciojmsilva,0.7641855559544141,9.483555750517748e-06,0.5731415378547482
642,99_euros,0.7618943519512893,2.981736305421529e-05,0.5714282183042305
770,deeekapp,0.7581631073050874,1.2198674529092045e-05,0.5686253801474479
343,roadshow,0.7563109302224292,0.0036172222512916847,0.5681375032296448
1545,chargelabhq,0.7562272946712834,3.89080170667117e-05,0.5671801980077292
1345,golfcarcompany,0.7512248189462222,6.182111419059315e-06,0.5634201597375215
14,torres_samar,0.41615104423245297,1.0,0.5621132831743397
1342,wwwizards,0.7488624691203699,2.0066649704056296e-05,0.5616518685027034
1527,eddielenton,0.7449549942411161,1.5354015596915218e-05,0.5587200841847363
855,huginzai,0.7424899736876654,7.669052032872693e-06,0.5568693975287573
1398,newscargt,0.7369435533754294,0.00036928766701067997,0.5527999869483248
366,carspytv1,0.735694992187583,0.0021476453766404655,0.5523081554848474
1548,carleasingstore,0.7359782268925626,1.5316687597251405e-05,0.5519874993413213
281,boyonabike62,0.7337827369037,0.0021731927805619827,0.5508803508729155
135,fultonleasing,0.7330686268729368,0.0021779716166116505,0.5503459630588555
834,oghenekomegood1,0.7334414658322372,6.463854492237549e-07,0.5500812609705402
1017,mtaylorracing,0.7321984444578934,1.9862322182159705e-05,0.5491537989239655
1005,ploughboybris,0.7313495605739949,2.947554946784857e-06,0.5485129073192329
375,saskevca,0.7305272107480241,0.0021542931127667858,0.5484339813392098
1663,vkozlovskii,0.731157587814251,9.073643777284775e-06,0.5483704592716325
617,steveaustinwsu,0.7302317662906364,0.0001022190961342035,0.5476993794920109
1415,thestatespostt,0.7289521910025578,3.4440412588359253e-06,0.5467150042622331
969,australia7news,0.7248210052465569,1.2763686325973048e-05,0.5436189448564992
895,stockgwiz,0.7243827773527199,2.30560381583177e-06,0.543287659415494
