partition,node,degree centrality,closeness centrality,betweenness centrality,eigenvector centrality,harmonic centrality,total centrality score,average tweet similarity,follower to following ratio,individual_profile_similarity,density,diameter,average path length,clustering coefficient,network size,average profile similarity,network size ratio,total community influence score,total similarity score,total influence score,total value of user
74,thepauworld,0.001264755,0.001523929,0,4.23E-36,0.002795699,0.008692614,0.524081114,1.82E-05,0.478465006,0.2273,0.333333333,0.361945224,0,15,0.32938592,0.006451613,0.00595212,0.503631066,0.013906854,0.381200013
95,kasirye_adam_ka,0.000421585,0.001889169,0,1.55E-49,0.003369176,0.00884134,0.457077391,3.04E-05,0.485941142,0.125,0.25,0.364450998,0,15,0.389280861,0.006451613,0.004770652,0.503776449,0.01293889,0.38106706
99,author111,0.000421585,0.000335852,0,3.13E-83,0.000645161,0.002183276,0.49575517,1.88E-05,0.52278015,0.6667,0.166666667,0.245009074,0,2,0.322127209,0.000860215,0.000927635,0.507086237,0.002968315,0.381056756
50,unegrandefemme,0.000421585,0.007620177,0,4.02E-19,0.01311828,0.032937577,0.513575,4.83E-06,0.426637769,0.0328,0.166666667,0.361488798,0,60,0.364948082,0.025806452,0.01447627,0.493036121,0.044973565,0.381020482
0,thisisysa,0.000421585,0.015508507,0,1.95E-07,0.030444444,0.072186595,0.443952464,1.01E-05,0.468558664,0.0192,0.333333333,0.381031196,0,103,0.346719102,0.044301075,0.032497697,0.474858657,0.09929592,0.380967972
4,ag25121993,0.000421585,0.016243461,0,1.66E-09,0.031432304,0.074868012,0.434179817,1.13E-05,0.460602522,0.0259,1,1,0,84,0.329384593,0.036129032,0.073193806,0.460982034,0.140437993,0.380846024
256,amreed2,0.00084317,0.000503778,1.27E-07,4.43E-83,0.000860215,0.003435854,0.466391335,0.000284774,0.451733749,0.6667,0.166666667,0.245009074,0,2,0.420464343,0.000860215,0.000927635,0.506265788,0.004408526,0.380801473
8,bishumba,0.000421585,0.019534564,0,8.44E-06,0.042486653,0.097211183,0.525934898,0.000104276,0.352856085,0.05,0.416666667,0.451146517,0,39,0.373128267,0.016774194,0.015395576,0.471965269,0.106899245,0.380698763
284,bakinghorn,0.000421585,0.000251889,0,1.46E-92,0.000430108,0.001717828,0.434307534,1.38E-05,0.444174076,1,0.083333333,0.183756806,0,1,0.461371487,0.000430108,0.000544985,0.506765897,0.00215918,0.380614218
324,giopagliari,0.000421585,0.000251889,0,1.46E-92,0.000430108,0.001717828,0.639680356,1.71E-05,0.45681512,1,0.083333333,0.183756806,0,1,0.2432482,0.000430108,0.000544985,0.506722592,0.002162286,0.380582516
7,jasperaffia1,0.000421585,0.001828529,0,1.20E-49,0.003225806,0.008523781,0.546358001,2.13E-05,0.411951526,0.1333,0.166666667,0.343012704,0,14,0.372987793,0.006021505,0.003871704,0.503379869,0.011776487,0.380479024
115,chidambara09,0.00084317,0.000503778,1.27E-07,4.43E-83,0.000860215,0.003435854,0.326686932,0.007299561,0.492885192,0.6667,0.166666667,0.245009074,0,2,0.512260241,0.000860215,0.000927635,0.503591619,0.011061609,0.380459116
219,scbowen,0.000421585,0.000453401,0,4.35E-77,0.000860215,0.002701002,0.334760567,6.28E-06,0.55549407,0.5,0.166666667,0.275635209,0,3,0.44748984,0.001290323,0.001215873,0.505931391,0.003720811,0.380378746
26,edgecitydesign,0.000421585,0.003086982,0,9.21E-39,0.005376344,0.013830193,0.548466457,1.25E-05,0.544240726,0.08,0.166666667,0.352813067,0,24,0.231818107,0.010322581,0.006188178,0.500699776,0.018997964,0.380274323
31,beastlyboy2013,0.000421585,0.014141656,0,6.29E-09,0.027290323,0.065148984,0.377285797,1.88E-06,0.566389211,0.025,0.416666667,0.428862798,0,79,0.321150827,0.033978495,0.029579281,0.477073168,0.089845508,0.380266253
13,djshanelafleur,0.000421585,0.002205938,0,8.60E-46,0.003870968,0.010115508,0.433925411,6.86E-06,0.490741999,0.1111,0.166666667,0.347096189,0,17,0.403874337,0.007311828,0.00456889,0.502289326,0.013933669,0.380200412
6,prinzwalker2,0.000421585,0.010264875,0,1.95E-12,0.017634409,0.044084073,0.430205569,3.15E-05,0.579423364,0.0244,0.166666667,0.363031738,0,81,0.27987764,0.03483871,0.019304073,0.486840798,0.060149441,0.380167958
41,ali_mgcina,0.000421585,0.024989105,0,0.000717391,0.057206194,0.12971757,0.534062887,6.28E-06,0.31313638,0.0168,0.333333333,0.385206191,0,118,0.359368684,0.050752688,0.037320458,0.454017075,0.15843093,0.380120539
53,adrinnenberg,0.000421585,0.001074727,0,2.65E-60,0.001935484,0.005341911,0.505691547,9.91E-06,0.437014828,0.2222,0.166666667,0.326678766,0,8,0.390930403,0.00344086,0.002462092,0.504305731,0.007410949,0.380082036
49,bbc_topgear,0.005902192,0.016307188,0.000820211,2.91E-09,0.034892664,0.090161396,0.267970377,0.019456239,0.58032704,0.0476,0.5,0.666305166,0,41,0.386664997,0.017634409,0.0214065,0.465254445,0.124268066,0.38000785
50,mads5cientist,0.000421585,0.007620177,0,4.02E-19,0.01311828,0.032937577,0.513575,1.03E-05,0.423117529,0.0328,0.166666667,0.361488798,0,60,0.364948082,0.025806452,0.01447627,0.491642954,0.04497872,0.379976896
138,travischevious,0.000421585,0.000699692,0,1.14E-68,0.001290323,0.00375388,0.564407454,2.50E-05,0.400249267,0.3333,0.166666667,0.306261343,0,5,0.36987309,0.002150538,0.001733824,0.504659158,0.005228395,0.379801467
301,vido_04_,0.000421585,0.000335852,0,3.13E-83,0.000645161,0.002183276,0.655463412,3.65E-06,0.349135906,0.6667,0.166666667,0.245009074,0,2,0.331773338,0.000860215,0.000927635,0.50538848,0.002953911,0.379779838
31,regulartweetsuk,0.00084317,0.021841824,0.001029642,2.02E-07,0.038458781,0.096779036,0.41061913,2.85E-05,0.50574837,0.025,0.416666667,0.428862798,0,79,0.321150827,0.033978495,0.029579281,0.466265971,0.119869889,0.379666951
137,mccarrenbill,0.000421585,0.000949428,0,9.75E-63,0.00172043,0.00481212,0.527355655,4.37E-05,0.427241446,0.25,0.166666667,0.32157441,0,7,0.378163469,0.003010753,0.002222661,0.503958964,0.006713469,0.37964759
0,jasonboybarb,0.000421585,0.015508507,0,1.95E-07,0.030444444,0.072186595,0.443952464,2.48E-06,0.463741745,0.0192,0.333333333,0.381031196,0,103,0.346719102,0.044301075,0.032497697,0.472952316,0.099288739,0.379536422
107,julez_norton,0.004637437,0.002770781,6.98E-06,8.33E-54,0.004731183,0.018906975,0.476084193,3.90E-05,0.485187922,0.1667,0.166666667,0.336887477,0,11,0.359086618,0.004731183,0.003171095,0.499050823,0.020976545,0.379532254
21,lovesfullglory,0.000421585,0.009573403,0,2.74E-13,0.016594982,0.041389768,0.338869303,2.88E-05,0.621509433,0.0256,0.333333333,0.376447509,0,77,0.325091237,0.03311828,0.024354548,0.485243276,0.062381549,0.379527844
122,bloss55,0.000421585,0.000335852,0,3.13E-83,0.000645161,0.002183276,0.537067081,2.94E-05,0.32402367,0.6667,0.166666667,0.245009074,0,2,0.474001892,0.000860215,0.000927635,0.504881903,0.002978317,0.379406007
27,jochen_wotan,0.000421585,0.018491691,0,2.15E-08,0.040081163,0.091830378,0.678792212,1.67E-05,0.238381444,0.0339,0.333333333,0.416916376,0,58,0.331325836,0.024946237,0.019561584,0.470611868,0.105664049,0.379374913
134,rr_iine,0.000421585,0.000699692,0,1.14E-68,0.001290323,0.00375388,0.512987335,4.26E-05,0.489371202,0.3333,0.166666667,0.306261343,0,5,0.330246264,0.002150538,0.001733824,0.503897317,0.005245076,0.379234257
25,merlinsboy11,0.000421585,0.001169296,0,2.65E-59,0.00261956,0.006553944,0.564821434,2.09E-05,0.336311636,0.0909,0.666666667,0.751732387,0,21,0.419718137,0.009032258,0.013632379,0.499245724,0.019165184,0.379225589
89,meeatme65,0.000421585,0.003212775,0,1.45E-38,0.005663082,0.014472336,0.522664079,2.99E-05,0.449598728,0.0769,0.333333333,0.377984085,0,27,0.345559906,0.011612903,0.009153493,0.49804717,0.022435871,0.379144345
6,num49046522,0.000421585,0.010264875,0,1.95E-12,0.017634409,0.044084073,0.430205569,2.28E-06,0.575923324,0.0244,0.166666667,0.363031738,0,81,0.27987764,0.03483871,0.019304073,0.485455624,0.060121764,0.379122159
49,maxizapata013,0.000421585,0.014578601,0,2.68E-10,0.028630914,0.067915877,0.484266652,4.16E-06,0.394300771,0.0476,0.5,0.666305166,0,41,0.386664997,0.017634409,0.0214065,0.477234078,0.084720528,0.379105691
68,kazeembelloj,0.000421585,0.001325732,0,3.86E-56,0.002365591,0.006402126,0.445247217,6.40E-06,0.492769341,0.1818,0.166666667,0.334103283,0,10,0.390752408,0.004301075,0.002935785,0.50237925,0.008862434,0.379000046
46,teslahistorian,0.002107926,0.00129543,1.78E-06,1.65E-67,0.002365591,0.00898267,0.537754292,0.000288794,0.453568518,0.2857,0.25,0.350012963,0,6,0.335103827,0.002580645,0.002285711,0.501452252,0.010961193,0.378829487
181,monjows,0.000421585,0.000335852,0,3.13E-83,0.000645161,0.002183276,0.21031094,1.58E-06,0.582399076,0.6667,0.166666667,0.245009074,0,2,0.540069468,0.000860215,0.000927635,0.50396645,0.002951945,0.378712824
1,luis_nunez_p,0.000421585,0.023571953,0,1.41E-06,0.046963739,0.110453815,0.562423489,9.26E-06,0.242480833,0.0207,1,0.749660488,0,136,0.359261914,0.058494624,0.10355657,0.437236207,0.202984068,0.378673172
0,malice_witch,0.000421585,0.015508507,0,1.95E-07,0.030444444,0.072186595,0.443952464,9.84E-06,0.460771504,0.0192,0.333333333,0.381031196,0,103,0.346719102,0.044301075,0.032497697,0.471776816,0.099295723,0.378656543
79,tliberalator,0.00084317,0.000503778,1.27E-07,4.43E-83,0.000860215,0.003435854,0.60314601,1.50E-05,0.381564405,0.6667,0.166666667,0.245009074,0,2,0.34609199,0.000860215,0.000927635,0.503184002,0.004152667,0.378426169
80,ibm3081d,0.000421585,0.018500836,0,6.63E-06,0.037365643,0.087627944,0.661275297,4.72E-06,0.322841449,0.1667,0.25,0.361945224,0,11,0.276875769,0.004731183,0.003683913,0.475556097,0.086607949,0.37831906
26,michaelsolakiew,0.000421585,0.003086982,0,9.21E-39,0.005376344,0.013830193,0.548466457,1.06E-05,0.537529594,0.08,0.166666667,0.352813067,0,24,0.231818107,0.010322581,0.006188178,0.498043784,0.018996139,0.378281873
1,jhennsygn,0.000421585,0.0270294,0,9.85E-06,0.052706605,0.124788104,0.619755837,2.91E-06,0.172085782,0.0207,1,0.749660488,0,136,0.359261914,0.058494624,0.10355657,0.432066522,0.216573217,0.378193196
256,investinai,0.000421585,0.000335852,0,3.13E-83,0.000645161,0.002183276,0.541087975,1.34E-05,0.369426258,0.6667,0.166666667,0.245009074,0,2,0.420464343,0.000860215,0.000927635,0.503253724,0.00296316,0.378181083
14,nochillontinder,0.00084317,0.013445522,4.91E-06,0.087082632,0.023799283,0.194847357,0.358868735,0.076294401,0.277758278,0.0242,0.333333333,0.468219775,0,153,0.436736886,0.065806452,0.054339882,0.401300348,0.308698738,0.378149945
1,paula_piccard,0.000421585,0.021462243,0,1.13E-07,0.039695946,0.095854836,0.590456403,8.84E-05,0.224137816,0.0207,1,0.749660488,0,136,0.359261914,0.058494624,0.10355657,0.441071073,0.189212963,0.378106545
121,mr_punjabi,0.001264755,0.000755668,3.81E-07,7.53E-77,0.001290323,0.005154077,0.406055593,1.90E-05,0.465597173,0.5,0.166666667,0.275635209,0,3,0.456020618,0.001290323,0.001215873,0.501945664,0.006059457,0.377974112
10,venkatesh3112,0.000421585,0.005731186,0,2.01E-25,0.009892473,0.024975919,0.559299705,1.59E-05,0.467613935,0.0435,0.166666667,0.359524185,0,45,0.276911544,0.019354839,0.011026275,0.49250752,0.034160799,0.37792084
3,jtkennady,0.000421585,0.001200178,0,4.04E-58,0.002150538,0.005871938,0.504017884,2.38E-05,0.540115809,0.2,0.166666667,0.33076225,0,9,0.281469901,0.003870968,0.002699725,0.501126525,0.008152194,0.377882942
41,declanifeanyi1,0.000421585,0.024989105,0,0.000717391,0.057206194,0.12971757,0.534062887,8.50E-06,0.304769579,0.0168,0.333333333,0.385206191,0,118,0.359368684,0.050752688,0.037320458,0.450705837,0.158433033,0.377637636
61,radiotv10rwanda,0.000421585,0.015435812,0,7.34E-08,0.030876801,0.072746251,0.429166935,0.000725925,0.448844946,0.0417,0.75,0.703463554,0,49,0.369758047,0.021075269,0.031510974,0.470323137,0.099569834,0.377634811
95,pyeparfaisal,0.005902192,0.003542191,1.32E-05,5.82E-49,0.006236559,0.024429398,0.469503826,4.98E-05,0.448852357,0.125,0.25,0.364450998,0,15,0.389280861,0.006451613,0.004770652,0.494016098,0.02774154,0.377447458
396,vincent13031925,0.000421585,0.000251889,0,1.46E-92,0.000430108,0.001717828,0.512126476,0.001122137,0.374526502,1,0.083333333,0.183756806,0,1,0.441506605,0.000430108,0.000544985,0.502138081,0.003210353,0.377406149
168,gaev66nino,0.002107926,0.001259446,1.27E-06,2.55E-68,0.002150538,0.008591116,0.490168164,2.16E-05,0.432417614,0.3333,0.166666667,0.306261343,0,5,0.399812107,0.002150538,0.001733824,0.499857837,0.009812995,0.377346626
10,shudhtweets,0.000421585,0.005731186,0,2.01E-25,0.009892473,0.024975919,0.559299705,2.55E-05,0.465472224,0.0435,0.166666667,0.359524185,0,45,0.276911544,0.019354839,0.011026275,0.491659918,0.034169914,0.377287417
95,robertkagugube,0.000421585,0.001889169,0,1.55E-49,0.003369176,0.00884134,0.457077391,1.84E-05,0.473151619,0.125,0.25,0.364450998,0,15,0.389280861,0.006451613,0.004770652,0.498714878,0.012927491,0.377268031
17,nkhoma_vic,0.000421585,0.000949428,0,9.75E-63,0.00172043,0.00481212,0.549229724,9.28E-06,0.490680456,0.25,0.166666667,0.32157441,0,7,0.284404146,0.003010753,0.002222661,0.500616285,0.006680789,0.377132411
83,angieharper2012,0.000421585,0.000335852,0,3.13E-83,0.000645161,0.002183276,0.48676905,5.81E-05,0.414439169,0.6667,0.166666667,0.245009074,0,2,0.426103523,0.000860215,0.000927635,0.50180254,0.003005574,0.377103299
4,mattmillercubed,0.000421585,0.013260791,0,2.10E-11,0.025046726,0.060285458,0.457025754,2.22E-05,0.436763269,0.0259,1,1,0,84,0.329384593,0.036129032,0.073193806,0.46058892,0.126617617,0.377096095
8,1travela,0.000421585,0.019534564,0,8.44E-06,0.042486653,0.097211183,0.633774563,0.000163446,0.232819958,0.05,0.416666667,0.451146517,0,39,0.373128267,0.016774194,0.015395576,0.467138407,0.106955365,0.377092646
50,owenjansen1,0.000421585,0.007620177,0,4.02E-19,0.01311828,0.032937577,0.513575,3.93E-06,0.413242358,0.0328,0.166666667,0.361488798,0,60,0.364948082,0.025806452,0.01447627,0.487734764,0.044972715,0.377044252
91,arnoharris,0.000421585,0.000335852,0,3.13E-83,0.000645161,0.002183276,0.386445284,9.51E-05,0.484326319,0.6667,0.166666667,0.245009074,0,2,0.456172063,0.000860215,0.000927635,0.501656871,0.003040619,0.377002808
31,pixarfan01,0.000421585,0.014141656,0,6.29E-09,0.027290323,0.065148984,0.377285797,4.82E-06,0.555055293,0.025,0.416666667,0.428862798,0,79,0.321150827,0.033978495,0.029579281,0.472587666,0.089848296,0.376902824
89,charlesrsmith10,0.00084317,0.003338766,3.17E-06,1.51E-38,0.005949821,0.015775964,0.540047878,1.67E-05,0.423422362,0.0769,0.333333333,0.377984085,0,27,0.345559906,0.011612903,0.009153493,0.494567431,0.023659782,0.376840519
89,s_l_knotts,0.00084317,0.002301042,6.35E-08,6.42E-39,0.004336918,0.011645174,0.57263242,1.71E-05,0.394049166,0.0769,0.333333333,0.377984085,0,27,0.345559906,0.011612903,0.009153493,0.495838351,0.019742426,0.37681437
33,_gemgoddess,0.000421585,0.001451361,0,2.51E-54,0.002580645,0.006932431,0.62093686,2.59E-05,0.380004382,0.1667,0.166666667,0.336887477,0,11,0.319682549,0.004731183,0.003171095,0.499155722,0.009607087,0.376768563
31,mindtrickz_,0.000421585,0.014141656,0,6.29E-09,0.027290323,0.065148984,0.377285797,9.61E-06,0.554411054,0.025,0.416666667,0.428862798,0,79,0.321150827,0.033978495,0.029579281,0.472332703,0.089852835,0.376712736
74,amazingmithamo,0.001264755,0.001523929,0,4.23E-36,0.002795699,0.008692614,0.524081114,2.00E-05,0.463242865,0.2273,0.333333333,0.361945224,0,15,0.32938592,0.006451613,0.00595212,0.497606764,0.01390849,0.376682195
284,kthorton,0.000421585,0.000251889,0,1.46E-92,0.000430108,0.001717828,0.386550757,1.64E-05,0.478568898,1,0.083333333,0.183756806,0,1,0.461371487,0.000430108,0.000544985,0.50147778,0.002161645,0.376648747
101,awanislam,0.000421585,0.000251889,0,1.46E-92,0.000430108,0.001717828,0.642133203,3.58E-06,0.25747624,1,0.083333333,0.183756806,0,1,0.426841349,0.000430108,0.000544985,0.501461812,0.002149474,0.376633727
89,liberationu,0.000421585,0.003212775,0,1.45E-38,0.005663082,0.014472336,0.522664079,1.87E-05,0.440966919,0.0769,0.333333333,0.377984085,0,27,0.345559906,0.011612903,0.009153493,0.494631052,0.022425328,0.376579621
